correo,codigo_reserva,numero_viaje,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,tipo_de_bus,comodidades,fecha_salida,fecha_llegada
majoroyb@viajes.cl,564927,69912,"Las Palmas de Gran Canaria",,19,2912,376000,"Etihad Airways",,,2026-03-25,2026-03-27
Martacontreras@viajes.cl,565674,34319,"Alcalá de Guadaira",,,,191000,Damas,Cama,,,2026-09-09
Sr.armas@viajes.cl,566878,1223,"La Coruña",Gerona,34,379,65000,Socibus,,,2026-02-27,2026-02-27
rebeca3933@viajes.cl,568174,70189,Mijas,Sagunto,9,3211,359000,"BDZ (Bulgaria)",,,,2026-03-03
sra.8108@viajes.cl,568593,92230,,Toledo,46,3967,64000,"EME Bus",Cama,,2025-02-13,2025-02-15
rubOon2473@viajes.cl,569045,7657,Baracaldo,Alcobendas,,612,38000,"VRZ (Croacia)",,,2026-04-15,2026-04-15
emjuca@viajes.cl,569271,70053,Arrecife,Getafe,9,3413,120000,"Nederlandse Sp",,,,2025-09-18
JosOoalmanza@viajes.cl,569936,16765,Pamplona,Santander,65,4104,426000,"ÖBB (Austria)",,,2026-11-16,2026-11-18
maruch@viajes.cl,570140,25022,Orihuela,"Roquetas de Mar",70,,192000,KLM,,,2025-09-09,2025-09-10
sra.5340@viajes.cl,571814,96135,,Toledo,39,2505,158000,"NS International",,,,2025-02-14
guabsa@viajes.cl,573489,23690,Benalmádena,Elche,40,,87000,"Via Bariloche",Semi-cama,,2026-08-09,2026-08-09
masopu@viajes.cl,575310,32313,Gandía,"Talavera de la Reina",,4075,335000,,,,2026-05-24,2026-05-26
capaba@viajes.cl,578394,69131,Getafe,Lérida,45,,172000,,,,2026-09-17,2026-09-19
rosario6914@viajes.cl,579154,6204,Cáceres,"Talavera de la Reina",98,3801,480000,"TGV (SNCF)",,,2025-03-16,2025-03-18
AnagodOAnez@viajes.cl,580634,10945,,,57,150,179000,"TGV (SNCF)",,,2026-05-15,2026-05-15
victoria2118@viajes.cl,581568,7495,Mérida,"Cornellá de Llobregat",,150,156000,"Japan Airlines",,,2026-07-19,2026-07-19
Manuelacevedo@viajes.cl,581856,40344,,Elche,40,4076,169000,Plusmar,Cama,,,2026-05-01
sizapr@viajes.cl,583561,36377,Irún,Vigo,1,,128000,"Delta Air Lines",,,2026-10-17,2026-10-17
ElisajimOAnez@viajes.cl,586859,98642,Fuenlabrada,Lugo,4,1527,183000,Eurostar,,,,2026-02-24
teodoro835@viajes.cl,588210,53906,Ferrol,,48,159,26000,,,,,2026-06-05
inOos9109@viajes.cl,588754,53003,Burgos,,85,1702,170000,"LATAM Airlines",,,2026-08-08,2026-08-09
miguel8866@viajes.cl,589185,56618,Pamplona,Paterna,,4171,318000,"DSB (Dinamarca)",,,2026-04-03,2026-04-05
Mercedesriojas@viajes.cl,589493,97236,,Gecho,75,1211,65000,"ÖBB (Austria)",,,,2026-03-14
sta.893@viajes.cl,590172,33479,"Mollet del Vallés",Córdoba,92,,141000,"Frontier Airlines",,,2026-11-23,2026-11-23
Saramuro@viajes.cl,591726,40655,"Alcalá de Henares",Gecho,44,1685,56000,,Cama,,2026-07-26,2026-07-27
giralo@viajes.cl,594073,17668,Albacete,,70,3262,325000,Ryanair,,,2026-05-07,2026-05-09
clamsa@viajes.cl,595830,74187,"Dos Hermanas",Oviedo,50,670,52000,"EME Bus",Cama,,2025-12-05,2025-12-05
sr.3517@viajes.cl,597037,55643,"Molina de Segura",Granada,32,,370000,,,,2026-02-01,2026-02-03
mariana7382@viajes.cl,598916,37999,Viladecans,Algeciras,48,4290,146000,JetSur,Cama,,2025-05-18,2025-05-20
rosalia3675@viajes.cl,600003,61915,Tarrasa,Getafe,30,3303,139000,KLM,,,2026-03-22,2026-03-24
Javierluna@viajes.cl,600084,74593,"Hospitalet de LLobregat",Reus,75,4022,389000,"Alaska Airlines",,,,2026-06-04
Alfredocardona@viajes.cl,600741,89760,Reus,Coslada,80,1324,71000,"CD (República Checa)",,,2026-02-10,2026-02-10
srglqujOe@viajes.cl,602870,67742,Badalona,,47,999,71000,Andesmar,Cama,,2026-04-07,2026-04-07
jopiro@viajes.cl,606023,41925,Guadalajara,Coslada,54,825,80000,Avianca,,,2025-09-16,2025-10-20
rocio5151@viajes.cl,606197,64488,Avilés,Salamanca,86,2640,108000,,,,,2026-01-24
bernardo2082@viajes.cl,606619,96023,,"Roquetas de Mar",,489,157000,"Copa Airlines",,,2026-10-30,2026-11-19
Jorgeferrer@viajes.cl,607002,62466,Estepona,Valdemoro,83,1844,189000,,,,2025-10-04,2025-12-19
cralir@viajes.cl,607075,81329,Granollers,Linares,,3724,203000,Qantas,,,2026-07-17,2026-12-19
EduardorolOIn@viajes.cl,607451,17800,Benidorm,Viladecans,72,4055,392000,"Turkish Airlines",,,2025-02-23,2025-08-10
cosOego@viajes.cl,608148,86364,Ferrol,Orense,57,2234,130000,Eurostar,,,2026-08-04,2026-11-05
raquel8972@viajes.cl,608330,52352,,"Roquetas de Mar",31,1514,141000,"VRZ (Croacia)",,,2025-12-05,2026-02-06
