nombre,correo,contrasena,username,telefono_contacto,run,puntos,jornada,isapre,contrato,dv
Sta. Ester Solís Abeyta,sta.6665708@viajes.cl,iyT0rYkqms,sta.7198855,,15880782,,Diurno,Banmédica,Part time,3
Sra. Sofia Zapata Jasso,srsozaja802@viajesanma.com,gsdOB3lE1XgLh,sra.5171808,+56 2 4014 4069,21183980,-6920,,,,5
Lucia Lira Casillas,Luciacasillas408@viajes.cl,LpoziMT5f08DR,Luciacasillas862,+56 9 9896 6315,12145493,,Nocturno,Banmédica,Full time,9
Sta. Timoteo Solorio Solís,sta.9052328@viajes.cl,tH8IrJ3X,sta.4035145,+56 2 8611 4059,29994077,,Diurno,Consalud,Part time,2
Gilberto Ureña Salcido,gilberto6987804@viajes.cl,jeeF1J0MVs3dAxE,Gilbertosalcido437,+56 9 0136 4363,27753316,,Nocturno,Colmena,Full time,2
Alejandra Gracia Briseño,algrbr211@marmol.com,iF8OeSLgdSVWYLZa,alejandra6238423,+56 9 7105 4318,14805876,-1698,,,,8
Antonio Rivas Riojas,antonio1796431@viajes.cl,ZIdbO3rfTU8bKMd,anriri400,,21887834,,Diurno,Colmena,,2
Caridad Vaca Dávila,caridad9349337@wass.com,3MuYiYfGemA12,cavadá388,+56 2 9612 6245,24348577,,,,,0
Natalia Alvarez Valadez,naalva967@viajes.cl,txQJjWX0W7,Nataliavaladez487,+56 2 9595 9591,11462383,,Diurno,Fonasa,Part time,0
Sta. Soledad Almanza Molina,Sta.molina427@wass.com,f7FdAx4S2xxEs,Sta.molina192,+56 2 7871 3561,29195682,,,,,3
Ramona Navarro Acevedo,Ramonaacevedo828@viajes.cl,K427CdtXKIkb,Ramonaacevedo287,+56 9 8668 9287,21566146,,Nocturno,Consalud,Full time,6
Sta. Emilio Valenzuela Santillán,sta.9588609@viajesanma.com,Yq1r88FsOXC,sta.9326241,+56 2 2233 4987,16023310,-20005,,,,9
Teodoro Lugo Patiño,teodoro9438521@viajes.cl,viYQzEaYP8,telupa933,+56 2 6116 2002,17699310,,Nocturno,Más vida,Full time,3
Francisco Ramón Ruiz,Franciscoruiz187@viajesanma.com,RnLXKjRj6,frraru690,+56 9 4488 6266,29435615,,,,,0
Mayte Amaya Quesada,Maytequesada714@outluc.com,dO6wl551EifR,Maytequesada544,+56 2 1230 0023,16270879,-17583,,,,1
Marco Antonio Díaz Cortez,Marcocortez795@viajes.cl,2NcM9xMVLFqyr5o,maandíco641,+56 2 9363 0374,28045566,,Diurno,Colmena,Full time,0
Marco Antonio Treviño Haro,marco2477413@viajes.cl,lyVu2TG8,maantrha560,+56 9 1521 7975,29044116,,Diurno,Más vida,Full time,1
Alberto Ybarra Ybarra,Albertoybarra929@viajes.cl,qXqlvP1PVJR3,alybyb871,+56 2 4167 2752,23720600,,Diurno,Banmédica,Full time,2
Claudio Baca Canales,clbaca144@viajes.cl,Hd7DWHrLaTTwpCo8,Claudiocanales113,+56 9 1145 0028,11765036,,Diurno,Consalud,,7
Samuel Segovia Gracia,sasegr729@viajes.cl,DMLFrDgQ3ghDd,Samuelgracia383,+56 2 4663 4939,18450683,,Nocturno,Consalud,Full time,1
Javier Perea Nieves,Javiernieves797@viajes.cl,6GuPqrHq,Javiernieves850,+56 9 7687 7852,15707821,,Nocturno,Consalud,Part time,6
Alicia Montaño Griego,alicia4034135@marmol.com,AJQ6n8t6qsN,Aliciagriego829,+56 2 0252 0462,16153929,,,,,5
Diego Almaraz Casárez,diego1376309@viajes.cl,rKM4SMu08,diego8693885,+56 9 3982 6843,21865212,,Nocturno,Más vida,Part time,3
Emilio Pizarro Meléndez,emilio7555854@viajes.cl,A3bfGHFRzFl4IVH,emilio2892125,+56 2 2984 2007,10849047,,Nocturno,Fonasa,Full time,0
Raúl Saavedra Gamboa,raúl2235183@viajes.cl,LzIOKb2woxB,rasaga995,+56 2 0891 2044,10158142,,Diurno,Banmédica,Part time,K
Graciela Granado Navarro,Gracielanavarro786@outluc.com,bZYX59lIMv7,graciela5516225,+56 9 4808 3244,11544971,-6282,,,,0
Sra. Mariana Perea Valladares,srmapeva595@viajes.cl,0BFNdKgrI54U6,Sra.valladares216,+56 9 1008 1018,11595769,,Nocturno,Fonasa,Full time,4
Alejandro Tamez Reséndez,altare803@viajes.cl,24tynONC,altare555,+56 9 4532 6638,24415070,,Nocturno,Banmédica,Full time,5
Ricardo Zúñiga Castañeda,rizúca865@viajes.cl,nQxztggPP5,Ricardocastañeda143,+56 2 5819 0591,11917433,,Nocturno,Colmena,Part time,3
Estela Mojica Pineda,estela6208869@viajes.cl,NBa4UfhljvZ6tg,Estelapineda187,+56 2 5036 1221,24368328,,Diurno,Consalud,Part time,9
Sta. Marco Antonio Cavazos Campos,stmaancaca776@viajes.cl,gLkopttRXEr3,sta.7344371,+56 2 1158 4269,25085412,,Nocturno,,Full time,9
Julio César Becerra Valle,jucébeva663@viajes.cl,GISHWBP1yU1vQ,julio2091242,,15426010,,Diurno,Colmena,Full time,2
Jaime Casanova Briones,jacabr338@outluc.com,iBirc90lthOySgmn,Jaimebriones605,+56 9 5159 6982,14220259,-10156,,,,K
Cristian Elizondo Pacheco,crelpa783@viajes.cl,8RGDmZ1kdclSnTEP,cristian2429547,+56 2 3231 8468,26325604,,Diurno,Banmédica,Full time,2
Alejandra Sotelo Roybal,alejandra2758964@viajesanma.com,dFXH4w1lHJZ5,Alejandraroybal449,+56 2 6285 3962,15332079,-6382,,,,9
Hugo Araña Ballesteros,Hugoballesteros708@viajes.cl,XMVP0FsX1x1r9jE1,Hugoballesteros616,+56 9 9326 5235,10388099,,Nocturno,Consalud,Part time,8
Ramiro Delgadillo Contreras,Ramirocontreras288@viajes.cl,Vw4GP8188YNd,radeco645,+56 9 2029 7530,13876742,,Nocturno,Más vida,Full time,6
Hugo Prado Arriaga,huprar955@viajes.cl,pY11Fjtl,huprar602,+56 2 0783 3174,12762754,,Diurno,Fonasa,Part time,1
Roberto Quintana Briseño,roberto9744305@viajes.cl,2x0NkuxGxF,roberto7592343,+56 2 6954 4873,21500769,,Nocturno,Banmédica,Full time,3
Sr. Mónica Colón Ávalos,srmócoáv354@viajes.cl,ClE2IW4tUzKtE,srmócoáv169,+56 9 9669 0448,22544303,,,Más vida,Part time,3
Sra. Dorotea Cabrera Rodarte,sra.5833903@marmol.com,q0m7s7IVFdjm,srdocaro168,+56 2 6556 7981,14207251,,,,,3
Sr. Inés Águilar Solano,sr.1742141@outluc.com,hUGil11ewfg1LqC,sr.5324366,+56 2 1114 9419,13413412,-8964,,,,7
José Emilio Arce Gallardo,Joségallardo746@viajes.cl,VHEpRwVZh4a,Joségallardo281,+56 9 6528 5189,10877050,,Nocturno,Colmena,Part time,3
Concepción Feliciano Garica,concepción2266378@edubus.cal,nMgljVO4g,cofega688,+56 2 2852 3302,21396489,-1002,,,,5
Luis Miguel de Jesús Gracia,lumidejegr954@edubus.cal,92slUhDmQHzH,lumidejegr383,+56 9 8342 4933,24477059,,,,,2
Sr. Gabriela Samaniego Armenta,Sr.armenta518@tourket.com,lMgnQoK54QtuD,sr.7334257,+56 2 1464 7662,21913760,,,,,5
Sr. Lucia Quiñones Quintana,srluququ687@viajes.cl,eZx2uqseQnzAFpHB,sr.4607493,+56 9 3224 0412,21194445,,Diurno,Colmena,Part time,5
Sra. Marco Antonio Pulido Cedillo,sra.7697392@viajes.cl,Hs8lBRsiTsBJY4zY,Sra.cedillo924,+56 2 9132 7653,24463415,,Nocturno,Fonasa,Part time,K
María Cristina Curiel Briseño,Maríabriseño689@edubus.cal,x86IQlumr9UfOVP,Maríabriseño281,+56 9 8670 5788,28944210,-12670,,,,3
Jorge Vela Adorno,jorge7473809@tourket.com,kT4IReIfroS,Jorgeadorno116,+56 2 8906 6796,17993655,,,,,0
Gilberto Gurule Ramón,Gilbertoramón421@viajes.cl,3SaIsm2Xfvnka,Gilbertoramón825,,18148161,,Nocturno,Más vida,Part time,7
Sofia Armenta Torres,soarto254@viajes.cl,QpWgfZhMzvlsMm16,Sofiatorres547,+56 2 7245 8981,22548963,,Nocturno,Más vida,,7
Sr. Alfredo Téllez Zavala,sr.7155697@viajes.cl,T3pR8lz8Zo,sr.8516950,+56 9 9431 4847,11311592,,Diurno,Fonasa,Part time,0
Adriana Briones Arevalo,Adrianaarevalo161@viajes.cl,R4mcytna9CcoGM,Adrianaarevalo939,,13235396,,Diurno,Más vida,Part time,4
Octavio Arce Sandoval,ocarsa130@viajes.cl,ypzw3Qwa5IxDu,ocarsa496,+56 9 8042 4673,29657032,,Diurno,Banmédica,Part time,K
Vicente Barajas Garay,vibaga825@viajes.cl,Q2uDXczKLSQq2,vicente1919993,+56 9 9931 7349,20575219,,Nocturno,Banmédica,Part time,6
Antonia Montes Valencia,antonia3604496@viajes.cl,ccKwoLSx2X,anmova570,+56 2 0350 4174,18068086,,Diurno,Más vida,Full time,1
María Elena Hernández Chacón,Maríachacón705@viajes.cl,of2W1H2vBB19l,maría4177968,+56 2 9444 8632,23429681,,Nocturno,Banmédica,Part time,7
Miguel Ángel Padrón Arreola,miánpaar973@viajes.cl,m89PGLGl,miguel7611665,+56 2 0127 4951,26830143,,Diurno,Colmena,Part time,7
Rebeca Delarosa Tovar,redeto680@viajes.cl,0kwLIUJsq,Rebecatovar796,+56 2 7631 5703,29013235,,Nocturno,Consalud,Full time,5
Gloria Lucio Zamora,Gloriazamora989@viajes.cl,hHqUUDEDn6zZZE3,gloria4508906,+56 2 4723 9238,21290974,,Diurno,,Part time,2
Sra. Sara Alanis Loera,Sra.loera788@viajes.cl,ho7fKzgXBYmPi4q,sra.9250499,+56 9 0103 5241,27148210,,Nocturno,Más vida,Full time,8
Julia Sedillo Pelayo,Juliapelayo134@viajes.cl,xWgAJR66B,julia7398716,+56 9 1312 1881,28062941,,Nocturno,Fonasa,Full time,3
Benjamín Soria León,Benjamínleón812@viajes.cl,efk9o4BHZKxcf6,Benjamínleón104,+56 9 3335 1133,14379960,,Nocturno,Más vida,Part time,3
Leonor Méndez Castro,leonor6713388@viajes.cl,m2p6LM2aMVh,Leonorcastro215,+56 2 6208 8885,18705642,,Nocturno,Consalud,Part time,K
Mayte Martínez Ulloa,Mayteulloa538@marmol.com,3AeZVG3t,Mayteulloa621,+56 2 5693 8167,15398300,,,,,3
Sta. Pedro Lucio Negrón,sta.4160875@viajes.cl,IUqA2X5HwZmd,stpelune901,+56 9 4223 6391,22726428,,Nocturno,Banmédica,Full time,4
Jorge Luis Alaniz Canales,jolualca163@viajes.cl,ZjoqE4clPB1LO,Jorgecanales751,+56 2 0501 5981,16856613,,Diurno,Banmédica,Part time,1
Juan Navarro Olivárez,juan8830456@viajes.cl,3hB084hC,juan9747337,+56 2 9594 3032,27371990,,Nocturno,,Full time,3
Dolores Araña Lucio,Doloreslucio682@viajes.cl,WpZ9g99PxxWLGx,dolores858298,+56 9 3406 2894,24395626,,Diurno,Fonasa,Full time,9
Gabriela Cardona Hidalgo,Gabrielahidalgo828@viajes.cl,g6t0iSm9EnQ,gabriela2563541,+56 9 3603 9048,14450172,,Nocturno,Banmédica,Part time,1
Carlos Arteaga Abeyta,Carlosabeyta963@viajes.cl,HAgF3VIaROz2,carlos4978237,+56 2 6461 1779,11032753,,Nocturno,Colmena,Full time,6
Horacio Casárez Toledo,Horaciotoledo760@viajes.cl,R71bmrrnVpU2,hocato606,+56 2 3299 2886,28281608,,Nocturno,,Full time,3
Marisol Ocasio Quintanilla,Marisolquintanilla277@edubus.cal,Td7cHk6Sf,maocqu504,+56 9 4558 5661,23665204,,,,,1
Horacio Galindo Pedroza,Horaciopedroza640@viajes.cl,YMiGvbJe6Cb2,horacio3036374,+56 9 7962 6251,29451872,,Diurno,Fonasa,,K
David Lebrón Cruz,dalecr689@viajes.cl,ZhJbXeXCh2P5oU2M,Davidcruz411,+56 2 5927 8731,27014936,,Diurno,Banmédica,Part time,7
Sra. Alfonso Baeza Burgos,sralbabu154@viajes.cl,XyzRE541,sralbabu628,+56 2 0125 6254,16223316,,Nocturno,Colmena,Full time,5
Alejandra Chávez Vargas,alchva980@viajes.cl,EVvgCgscSD4SRs,Alejandravargas497,+56 9 0117 9300,24477880,,Diurno,Colmena,Part time,1
Sergio Quiñones Juárez,sergio8830950@viajes.cl,B09ZNcbcDuUKGgm9,sequju132,+56 9 7469 8858,29413291,,Nocturno,Colmena,Full time,0
Sra. Octavio Urbina Lerma,sra.7988218@viajes.cl,6t8Vb0rOfp64GtW,sra.735303,+56 2 4736 1359,27692568,,Diurno,Consalud,Full time,7
Sr. Maricarmen Sosa Ochoa,Sr.ochoa742@viajes.cl,azgYJ5Sf,sr.4990663,+56 2 4080 8070,10111435,,Nocturno,Fonasa,Full time,K
Andrea Cortés Ruiz,Andrearuiz309@outluc.com,uyDS1rv6vs0FwBh,Andrearuiz262,+56 2 3214 3866,26906656,,,,,3
Alfonso Tafoya Zarate,Alfonsozarate453@viajes.cl,NBJ5iiTOTLuNdh,altaza691,+56 9 9545 6450,16373240,,Nocturno,Fonasa,Part time,8
Sta. Luis Miguel Terrazas Malave,stlumitema624@viajesanma.com,znDRzGYYx8yuuF6,sta.1847516,+56 9 4648 7709,28124156,,,,,7
Eduardo Riojas Agosto,Eduardoagosto919@marmol.com,610Guvj1wjrODw,eduardo2353838,+56 2 7855 2247,28668103,,,,,4
Guillermina Carmona Serrano,Guillerminaserrano753@marmol.com,83YyKyU2,guillermina7788476,+56 9 3257 8658,20705559,-3094,,,,K
Sra. Caridad Quesada Loera,Sra.loera733@edubus.cal,cWRTZISovn0MMzsV,srcaqulo196,+56 2 3594 6387,27856691,-2760,,,,9
Marilu Mena Montalvo,marilu8903173@viajes.cl,E9aUn0hgt61L,Marilumontalvo611,+56 2 5016 5546,17526564,,Diurno,Fonasa,Full time,3
Rebeca Carmona Aguilera,Rebecaaguilera215@viajes.cl,HModJJOy1,rebeca7667189,+56 9 9702 6664,22157915,,Diurno,,,1
Alejandra Raya Gamboa,alraga536@viajes.cl,arYkY8jdq8elDsFZ,Alejandragamboa941,+56 9 6877 8311,11051549,,Nocturno,Fonasa,Full time,9
Javier Aparicio Palacios,javier3160596@viajes.cl,ro8wS8yhTyk,Javierpalacios839,+56 2 9264 0930,15695552,,Diurno,Colmena,Part time,3
Bernardo Feliciano Vergara,Bernardovergara432@viajes.cl,9TE2wKEz3slZD,Bernardovergara763,+56 2 0544 4640,12566305,,Diurno,Consalud,Part time,2
Jacobo Arellano Delgadillo,Jacobodelgadillo820@viajes.cl,zJppB1cK53eD,jaarde217,+56 9 3783 9897,28372169,,Nocturno,Fonasa,Full time,8
Carla Robledo Baca,caroba415@viajes.cl,cmIN7cR1HHLV,Carlabaca917,+56 9 2035 3625,18691399,,Nocturno,Más vida,Full time,K
Amalia Figueroa Quintana,Amaliaquintana437@viajes.cl,Y1k6sKa8dS,amalia625817,+56 9 5352 5084,11959755,,Diurno,Más vida,Part time,2
Sta. Florencia Balderas Jiménez,sta.4606315@viajesanma.com,mk5UEzm6knySF,sta.8926101,+56 2 2606 4674,12651175,,,,,2
Claudia Hidalgo Marín,claudia479520@viajes.cl,pmt953d6FduPIZJR,Claudiamarín983,+56 2 8058 6755,27208092,,,Consalud,Full time,5
Sta. Gregorio Viera Villalpando,stgrvivi934@viajes.cl,2pygQz4T5,sta.8504954,+56 9 3640 9230,26029553,,Nocturno,Colmena,Full time,5
Raúl Galván Corrales,Raúlcorrales716@viajes.cl,pFQ1p4QLlJz6u,raúl3658617,+56 9 8593 5227,17823130,,Diurno,Colmena,Full time,8
Sra. Horacio Rojo Peralta,Sra.peralta519@viajes.cl,KBhI1AnesOt9CjE,srhorope936,+56 9 9506 9738,11218325,,Nocturno,Fonasa,Part time,6
Mercedes González Delafuente,mercedes6680239@viajes.cl,iqpZp9uxC7,Mercedesdelafuente381,+56 2 6050 0581,17174761,,Nocturno,Más vida,Part time,9
Sra. Juan Carlos Arenas Luna,sra.8023957@viajes.cl,E1zgnnBfYW2LW,srjucaarlu813,+56 2 3604 4218,25208872,,Nocturno,Más vida,Full time,5
Víctor Bueno Angulo,víbuan640@viajesanma.com,n7zWH3BDVwWyN,Víctorangulo944,+56 2 4476 8400,25720617,,,,,3
Ramona Hernández Macías,ramona1701167@viajes.cl,ze8iWDeRme1YF1,Ramonamacías888,+56 9 7262 4974,13613986,,Nocturno,Banmédica,Part time,K
Jorge Vera Ponce,jovepo298@viajes.cl,P2On6ZwKe7qu6uD,jovepo530,+56 2 4034 3398,18179729,,Nocturno,Colmena,Full time,0
Gerardo Nava Delao,genade978@viajes.cl,cuNuWItE0,Gerardodelao661,+56 9 4186 3371,13834369,,Diurno,Banmédica,Part time,3
Jerónimo Mayorga Regalado,jerónimo2841319@viajes.cl,VWDuC2QMU7lm4,jemare958,+56 2 8278 8043,19331458,,Nocturno,Banmédica,Part time,9
Alejandra Irizarry Samaniego,alirsa833@viajes.cl,kS7KdVWvtp,Alejandrasamaniego157,+56 9 8239 4114,19417887,,Diurno,Colmena,Full time,5
Graciela Rico Chacón,Gracielachacón334@viajes.cl,DxlGGL5m2t,Gracielachacón207,+56 2 4288 9507,26159534,,Diurno,Consalud,Full time,6
Luisa Tejeda Soliz,Luisasoliz819@viajes.cl,UzI3nNDNSEdvw,Luisasoliz164,+56 2 6646 1652,23201543,,Nocturno,Consalud,Part time,8
Alfonso Villaseñor Lovato,alfonso9925642@viajes.cl,3M0VjW8OzJgWkI2,alvilo120,+56 9 9665 6493,17989529,,Nocturno,Más vida,Full time,3
Pablo Burgos Saldivar,pabusa292@outluc.com,GXYA9yZtYkTNlLa,Pablosaldivar462,+56 2 4932 4946,18960263,,,,,4
Marcos Maya Corrales,Marcoscorrales762@viajes.cl,RjeqN3guAs16,Marcoscorrales830,+56 2 6613 5532,24820378,,Nocturno,Colmena,Full time,1
Carlos Montemayor Rosales,Carlosrosales796@viajes.cl,unndn74TQDYleA,Carlosrosales413,+56 9 4304 0055,24265028,,Nocturno,Banmédica,Full time,K
José Emilio Hernández Cardenas,josé5639328@marmol.com,ssDi4Db5ch,josé6497970,+56 9 0306 3047,11890051,-3294,,,,0
Sra. José Emilio Camacho Nieto,Sra.nieto446@viajes.cl,3Pe7ncDEPAWodv,srjoemcani117,+56 9 4673 4130,14723340,,Nocturno,Consalud,Full time,K
Miguel Ángel Camarillo Reynoso,miguel1703488@viajes.cl,Zvfrt9Bb5,miguel6798190,+56 9 7053 3759,20127626,,Nocturno,Fonasa,Part time,8
Sr. Julio Alarcón Limón,Sr.limón373@viajes.cl,q1SSwQDNlg4rmNX,Sr.limón633,+56 9 4486 6365,11316263,,Diurno,Consalud,Part time,5
Manuel Bustos Ayala,manuel2609542@viajes.cl,0b3Gkjjh1jxz8,manuel4089184,+56 9 9000 7932,20613388,,Nocturno,Consalud,Part time,0
Magdalena Bravo Casanova,Magdalenacasanova305@viajes.cl,Hjh0IQdSQ,magdalena814875,+56 2 5067 6378,12406939,,Diurno,Consalud,Part time,4
Sra. Luz Samaniego Perea,srlusape355@viajes.cl,PU7AdyC2YW,srlusape201,+56 2 7550 7416,24761287,,Diurno,Más vida,Part time,4
Lorenzo Villaseñor Cepeda,lovice659@tourket.com,FaoKBESK1Eu,lorenzo3954197,,23423529,,,,,K
Norma Delvalle Raya,Normaraya573@viajes.cl,Js53trgmFLngdSK,norma2077456,+56 9 8709 4611,17217548,,Nocturno,Fonasa,Part time,1
Bernardo Corrales Quiroz,bernardo5607682@viajes.cl,nXAqgL0dooc2R,bernardo729697,+56 2 5252 4286,22233385,,Nocturno,Fonasa,Part time,7
Gustavo Sosa Galván,gusoga959@outluc.com,O5sYNDcI9bG,Gustavogalván303,+56 9 6816 4227,29812922,,,,,1
Beatriz Cervántez Cotto,beatriz4510392@viajes.cl,Sn78Zz0u9,bececo237,+56 9 1431 6897,17793038,,Diurno,Banmédica,Part time,5
Bernardo Díaz Cabrera,bedíca294@viajes.cl,JGQehVQIxVAa0,bedíca800,,15612745,,Diurno,Banmédica,Part time,0
