nombre,correo,contrasena,username,telefono_contacto,run,puntos,jornada,isapre,contrato,dv
Germán Villanueva Solís,germán7298769@outluc.com,qcRlGNZ6ycIM,Germánsolís665,,27768191,6093,,,,9
Isabel Montenegro Arguello,isabel7111882@edubus.cal,tSGTLdQO3PDh,ismoar390,+56 2 2584 1053,19000757,18844,,,,K
Lucas Farías Valladares,lufava526@edubus.cal,pLUtLk3Vh,lucas9645115,+56 9 0285 8854,15804496,2185,,,,K
Octavio Vallejo Urbina,ocvaur484@wass.com,ttu6deBPa4,ocvaur517,+56 9 5616 0750,27640448,12008,,,,2
Diana Henríquez Aragón,Dianaaragón122@viajesanma.com,PtUCE0Ra7bs,diana9057486,+56 9 6751 0473,12798891,4638,,,,9
Barbara Delacrúz Atencio,barbara8302217@marmol.com,trW4xvw1,barbara7435831,+56 9 9300 6316,28950372,1356,,,,2
Jorge Olmos Montoya,jorge9998271@wass.com,Dmm5Mo99BMouHA,jorge4411380,+56 2 3502 1892,14768635,4360,,,,8
Esperanza Méndez Jaimes,esperanza5844691@viajesanma.com,u7nbXqnLLl,Esperanzajaimes937,+56 9 4148 9733,23663392,1296,,,,6
Estela Collazo Valladares,estela8403615@viajesanma.com,h4XmhGDBkeDGS,Estelavalladares523,+56 9 5372 0969,28137966,805,,,,6
Verónica Guerra Paz,vegupa144@wass.com,sCFUraw2,verónica5328489,+56 2 4119 8750,19510819,2100,,,,6
Roberto Correa Botello,Robertobotello102@edubus.cal,ro6bi8dmQTX,Robertobotello101,+56 2 4780 2156,18967066,1688,,,,4
Yolanda Cardenas Alejandro,yocaal145@marmol.com,u3qXoY8YnoNm9Gyu,Yolandaalejandro658,+56 2 2079 2947,16651026,7482,,,,0
Mónica Moya Sauceda,Mónicasauceda948@marmol.com,HiD0FlrEjL7X,mómosa865,+56 2 4241 6650,24738666,5004,,,,1
Luis Tamez Bustamante,Luisbustamante957@wass.com,PzlATLb5uC,lutabu659,+56 9 8881 9338,13183758,0,,,,5
Ernesto Gracia Rivera,ergrri695@outluc.com,6crIR4A8N,ernesto2043413,+56 9 1626 4491,26661045,3696,,,,9
Caridad Nieves Guajardo,Caridadguajardo615@edubus.cal,vRNrFPR6g2EcOZX,Caridadguajardo906,+56 9 0163 1341,29855937,0,,,,4
Ricardo Maestas Arevalo,Ricardoarevalo285@outluc.com,XERXyxtcw16j2,Ricardoarevalo970,+56 9 9497 4624,13061590,9765,,,,2
Mario Batista Arevalo,mabaar656@viajesanma.com,jZBovawLUPnFaH86,mabaar551,+56 2 6280 7361,21241427,2938,,,,1
Manuela Almaraz Alejandro,manuela6920441@marmol.com,94QV7kRNWpwoS,Manuelaalejandro603,+56 2 4723 4530,15136419,4288,,,,5
Sr. Gerardo Delatorre Caballero,Sr.caballero357@outluc.com,fYHeP4yB8S,Sr.caballero374,+56 2 7660 0215,11919543,14559,,,,8
Cristian Olivas Peralta,cristian3671209@marmol.com,mfE6Gt3EwXmg7,cristian1230604,+56 9 9542 8565,13107520,0,,,,0
Guadalupe Carrero Quiñones,Guadalupequiñones252@edubus.cal,QGUVo2s5cR2s,gucaqu815,+56 9 7488 0383,26616261,13125,,,,8
Sergio Delacrúz Guillen,sedegu570@edubus.cal,vCduQl1IuUsi,sergio1203247,+56 2 5950 9322,11536976,4020,,,,8
Sra. Sofia Zapata Jasso,srsozaja802@viajesanma.com,gsdOB3lE1XgLh,sra.5171808,+56 2 4014 4069,21183980,-6920,,,,5
Sr. Marilu Sevilla Luna,sr.5691887@edubus.cal,9lMQGgJ2p,sr.1930122,+56 2 5818 2935,26186319,1572,,,,7
Eva Toledo Castellanos,evtoca927@edubus.cal,w5YfNEK4SM,evtoca629,+56 2 0440 8814,14028481,6975,,,,5
Alejandra Gracia Briseño,algrbr211@marmol.com,iF8OeSLgdSVWYLZa,alejandra6238423,+56 9 7105 4318,14805876,-1698,,,,8
Sr. Germán Valle Barrios,sr.9186264@tourket.com,s4v46DCYP,Sr.barrios471,+56 9 6267 1828,11140533,0,,,,6
Fernando Castellanos Cortés,Fernandocortés200@wass.com,S6o6LQNXhfmym6,fecaco600,+56 9 7291 1939,22297612,4741,,,,K
Marta Torres Montemayor,Martamontemayor207@edubus.cal,6ATcS6rp,matomo740,+56 9 8058 9223,23110236,1359,,,,1
Sra. Octavio Armenta Gaitán,srocarga626@tourket.com,4U56jza4O8QpPVFK,Sra.gaitán140,+56 2 1334 5431,29828125,902,,,,2
Sra. Carlota Zarate Batista,srcazaba245@outluc.com,iQ4o40o3XEWHH,Sra.batista593,+56 9 7722 8085,23350999,23214,,,,K
Gabriela Arce Amador,gabriela7517881@tourket.com,2OdpDPoDGA826P5,Gabrielaamador757,+56 9 4001 3981,26793746,418,,,,K
Antonio Rivas Riojas,antonio1796431@viajes.cl,ZIdbO3rfTU8bKMd,anriri400,,21887834,,Diurno,Colmena,,2
Sta. Natalia Ojeda Bañuelos,Sta.bañuelos302@viajesanma.com,XcGbVWhmCOCIL7q,sta.9948203,+56 2 9902 8833,19825184,0,,,,4
Caridad Vaca Dávila,caridad9349337@wass.com,3MuYiYfGemA12,cavadá388,+56 2 9612 6245,24348577,,,,,0
Sta. Soledad Almanza Molina,Sta.molina427@wass.com,f7FdAx4S2xxEs,Sta.molina192,+56 2 7871 3561,29195682,,,,,3
Julio César Mesa Anguiano,Julioanguiano244@edubus.cal,LxgqA2Fna0OC,jucémean340,+56 9 1353 2520,24983290,11949,,,,1
Sta. Emilio Valenzuela Santillán,sta.9588609@viajesanma.com,Yq1r88FsOXC,sta.9326241,+56 2 2233 4987,16023310,-20005,,,,9
Francisco Llamas Moya,francisco3451310@marmol.com,wv0W19lN,francisco4186805,+56 2 9199 9817,17623387,5733,,,,7
Samuel Limón Caldera,salica424@tourket.com,5CtMKjhZ,Samuelcaldera285,+56 9 2624 7726,25198454,0,,,,9
Juan León Arreola,julear325@tourket.com,5RnkH4MeltUF,juan1941436,+56 9 4407 0408,20338341,1338,,,,K
Sta. Francisca Briones Velázquez,Sta.velázquez648@outluc.com,k0OukRD544,Sta.velázquez300,+56 2 8209 0639,16498387,4048,,,,0
Mayte Velázquez Olmos,Mayteolmos670@viajesanma.com,mEk5OxcXxz65M,mayte6340164,+56 9 5146 5369,29413369,0,,,,0
Sta. Federico Cornejo Tamayo,sta.5614166@outluc.com,2IgRluqL6V16l,Sta.tamayo481,+56 2 0868 4215,20832027,0,,,,0
Germán Vázquez Lucio,Germánlucio910@marmol.com,Hbbx9d6B5,geválu695,+56 9 2277 2848,26736603,9040,,,,9
Sra. Ramiro Rojas Armas,sra.6948808@edubus.cal,bkcRi7KH,sra.5893566,+56 2 0066 4158,23298839,25308,,,,8
Francisco Ramón Ruiz,Franciscoruiz187@viajesanma.com,RnLXKjRj6,frraru690,+56 9 4488 6266,29435615,,,,,0
Bernardo Guardado Almanza,bernardo2775743@outluc.com,ubbplvJaE5WsXXP,Bernardoalmanza253,+56 2 6858 2014,24404009,15237,,,,8
Mayte Amaya Quesada,Maytequesada714@outluc.com,dO6wl551EifR,Maytequesada544,+56 2 1230 0023,16270879,-17583,,,,1
Silvia Baeza Gutiérrez,Silviagutiérrez371@marmol.com,26fCt72pvQEcYvCf,sibagu345,+56 2 0515 4497,16854309,8641,,,,3
Mercedes Menéndez Salgado,memesa681@tourket.com,UQbW6wFdeatY,Mercedessalgado367,,29868324,5846,,,,5
Rocio Padrón López,Rociolópez775@tourket.com,x7Fh1F4P,rocio7766190,+56 2 4475 9188,27489718,7632,,,,K
Mateo Rincón Espinal,mateo1615222@outluc.com,hsGRlEO2,mateo7011864,+56 2 1529 7311,13501399,1713,,,,4
Carlota Vanegas Mercado,Carlotamercado560@wass.com,x74kNWWcx,Carlotamercado543,+56 9 9477 1611,17971738,0,,,,7
Claudio Baca Canales,clbaca144@viajes.cl,Hd7DWHrLaTTwpCo8,Claudiocanales113,+56 9 1145 0028,11765036,,Diurno,Consalud,,7
Jorge Lucio Carvajal,Jorgecarvajal234@edubus.cal,CAmd4aZTw,joluca766,+56 9 8848 2595,14711561,0,,,,K
Jacobo Olmos Narváez,jacobo164702@wass.com,ED0Wgzah9rVL6,jaolna402,,20530996,0,,,,9
Mario Zepeda Zambrano,mazeza307@viajesanma.com,7uM0c9FM7C,mario2370850,,12599324,6116,,,,9
Alicia Montaño Griego,alicia4034135@marmol.com,AJQ6n8t6qsN,Aliciagriego829,+56 2 0252 0462,16153929,,,,,5
Sta. Joaquín Escamilla Menchaca,stjoesme886@edubus.cal,YO0Np4OMD6,Sta.menchaca181,+56 9 3128 9941,19542117,31467,,,,K
Marta Serna Escalante,Martaescalante585@tourket.com,aNFAPdr9LUA,Martaescalante511,+56 9 4080 5639,23988550,0,,,,0
Débora Aponte Molina,débora9963269@wass.com,eXz2xGjs,déapmo571,+56 9 9961 2092,11113618,6064,,,,1
Sr. Daniel Atencio Collazo,srdaatco187@marmol.com,GnQR7dH1ge,sr.4526209,+56 9 0687 9072,23900955,7092,,,,7
Graciela Granado Navarro,Gracielanavarro786@outluc.com,bZYX59lIMv7,graciela5516225,+56 9 4808 3244,11544971,-6282,,,,0
Sonia Mata Coronado,somaco153@wass.com,FGSJAU5J3iJabc,somaco593,+56 9 1199 7842,22136854,8755,,,,1
Sta. Víctor Estévez Amador,sta.8662219@edubus.cal,LdLguGQk1ql2,stvíesam685,+56 2 9019 5334,14752582,0,,,,6
Sta. Jacobo Peres Pérez,Sta.pérez132@outluc.com,8EzC7JHreh80P,stjapepé752,+56 2 0605 4785,26619779,0,,,,9
Elsa Gallardo Baca,elgaba647@marmol.com,tNcljRXO7iivTG,elgaba298,+56 2 8016 5316,12664506,0,,,,6
Sr. Carmen Ybarra Aguayo,srcaybag230@wass.com,EhoRgjtWE40WN,Sr.aguayo884,+56 2 9960 4222,10317667,5091,,,,0
Nicolás Aragón Bañuelos,nicolás5800166@outluc.com,X4xejVu6oe,niarba812,+56 2 6435 1178,27753475,7212,,,,4
Sta. José Cornejo Lugo,Sta.lugo718@marmol.com,2NCcdwm211oZe,stjocolu321,+56 9 8506 3325,27543762,2448,,,,K
Elena Sotelo Reséndez,Elenareséndez296@wass.com,NO2lAzd01,elsore614,+56 2 5060 5009,29311730,6671,,,,6
Inés Alvarez Salgado,inés879788@outluc.com,z95ufoywFrY,inés732798,+56 2 5756 6360,24293030,0,,,,4
Laura Casas Gurule,lacagu405@edubus.cal,k0N3WJhO3S,lacagu554,+56 2 6677 7511,20920349,13095,,,,9
Teodoro Chavarría Brito,teodoro7875485@edubus.cal,XGtxQiQ80s,teodoro3874922,+56 9 0292 0937,20414014,0,,,,6
María Eugenia Salcido Narváez,Maríanarváez141@viajesanma.com,nr43eLmV8,Maríanarváez203,+56 9 2163 5571,12064962,5133,,,,0
Jerónimo Crespo Nevárez,Jerónimonevárez456@edubus.cal,LsJxGkKU72aDiy,jecrne998,+56 9 0330 3727,29909089,27055,,,,2
Sra. Adán Villanueva Palacios,Sra.palacios646@marmol.com,cD31cKMN6Y4QdFH,Sra.palacios116,+56 2 5130 0367,13699167,9205,,,,1
Lorenzo Colón Preciado,lorenzo3679798@wass.com,zFm4OqTMbB9,Lorenzopreciado877,+56 9 2375 2647,26152589,816,,,,5
Lucas Cano Ulloa,Lucasulloa144@outluc.com,gezRpT05kPI08s6,Lucasulloa288,+56 9 2437 3000,21617498,8278,,,,4
Sta. Marco Antonio Cavazos Campos,stmaancaca776@viajes.cl,gLkopttRXEr3,sta.7344371,+56 2 1158 4269,25085412,,Nocturno,,Full time,9
Hernán Solís Crespo,hesocr680@viajesanma.com,kMeVl0Q6Fam,hesocr791,+56 9 1033 6887,19528605,18462,,,,1
Natalia Gálvez Márquez,natalia5762344@viajesanma.com,4avvbrwVstSX8RHb,nagámá708,+56 9 2686 2459,25235582,25927,,,,0
Manuela Arteaga Ávila,maaráv801@wass.com,Iul7bQoLZshHvM,Manuelaávila279,+56 2 0168 2160,15164762,625,,,,6
Francisca Pizarro Montenegro,francisca6290707@edubus.cal,6keTpgtXLFPy,francisca3133955,+56 9 2814 9492,26573407,2345,,,,3
Rosario Zúñiga Montenegro,rosario6546995@viajesanma.com,4X96HWLyh,Rosariomontenegro365,+56 9 4680 3547,22524197,0,,,,K
Jaime Casanova Briones,jacabr338@outluc.com,iBirc90lthOySgmn,Jaimebriones605,+56 9 5159 6982,14220259,-10156,,,,K
Leonor Estévez Zambrano,leonor8794107@wass.com,vCBPaRvMCvE1,leesza946,+56 9 3407 9503,22119107,0,,,,2
Sra. Dolores Zarate Griego,sra.5677913@viajesanma.com,196ynI1l7,Sra.griego609,+56 2 7441 7203,24166857,0,,,,6
Sr. María Elena Serrano Sosa,srmaelseso170@wass.com,W7d3CIny15m,srmaelseso121,+56 2 7103 1530,14937992,25699,,,,4
Sta. Cristobal Benavides Corona,sta.3073765@marmol.com,0y3e9GXueaXJ6Wz,sta.5076573,+56 9 1080 4372,24241741,2352,,,,0
Sta. Emilio Blanco Mena,sta.2465451@edubus.cal,PXRow8wlbyGz,sta.8011328,+56 9 2798 7555,11107798,1103,,,,3
Carla Alba Almanza,Carlaalmanza141@outluc.com,btU38XRSZW,caalal132,,28606881,3791,,,,2
Jesús Soliz Hernández,Jesúshernández237@wass.com,nihcnHcR54LbxL4n,jesohe964,+56 9 7047 7366,22762280,16188,,,,6
Clemente Negrete Ortega,Clementeortega436@marmol.com,OzsHqdz0KKpY91,clemente9760347,+56 2 8717 3249,25499277,8738,,,,1
César Ozuna Becerra,césar3797582@viajesanma.com,bt5BIQ382ovsMpzC,césar7366441,+56 9 3779 9467,25257582,0,,,,0
Samuel Marín Flores,Samuelflores464@marmol.com,GPyC849lxUTToin,samuel4639168,+56 9 8504 5556,22959338,2248,,,,2
Elvira Tamayo Candelaria,elvira8516932@wass.com,hEBAW6PqJUdj,Elviracandelaria626,+56 9 0096 0664,23785183,7369,,,,8
Víctor Cazares Zamora,víctor2371759@viajesanma.com,ElEOH4wXNuYnR0,Víctorzamora344,+56 9 7579 8566,28443948,0,,,,1
Jesús Cantú González,Jesúsgonzález482@wass.com,m2VayBsVY5L5,jecago323,+56 9 9151 4894,21479279,6645,,,,6
Cristian Carbajal Carreón,cristian7790342@outluc.com,1d9430H8Pb3oy,cristian7788961,+56 9 8800 0072,15642373,13844,,,,4
