panorama_id,nombre,edad
78953,,109
78953,Claudia Urrutia Meraz,-102
,Antonio Almanza Villareal,74
78954,Jacobo Martínez Domínquez,-109
,Antonia Olmos Jasso,27
,Sta. Benito Gallegos Castellanos,40
78959,Ricardo Loya Castañeda,-64
78960,David Ontiveros Olivo,-53
,Isabela Castillo Rodrígez,101
78960,Lorenzo Botello Vargas,-29
78961,,84
78961,,40
,Luis Rocha Rivero,43
78961,Verónica Garibay Rocha,-22
78962,María Luisa Vela Rivero,-35
78962,Vicente Garza Maya,-42
78963,Mónica Duran Barraza,-10
78967,Rosalia Anaya Valencia,-51
78967,,5
78968,Ignacio Orozco Centeno,-27
,Jaime Hurtado Arce,19
78968,,99
78969,Guadalupe Galarza Molina,-67
,José Marrero Arteaga,63
78979,Santiago Fernández Malave,-38
,Teresa Figueroa Gallegos,69
78985,,35
78986,Sra. Alfredo Segura Centeno,-59
78987,,43
78991,,100
78992,Sta. Gabriel Baca Contreras,-107
78994,Sra. Laura Aragón Lomeli,-65
79007,Cristina Báez Collazo,-47
79007,,30
79009,Rodrigo Zamora Portillo,-51
79009,,44
,Alfonso Hurtado Cruz,66
,Claudio Pizarro Fierro,62
79016,,
79019,,56
79020,,107
,Ana María Agosto Alicea,54
79021,Marilu Valdez Marroquín,-90
79021,,54
,Mateo Briones Carbajal,35
,Hugo Domínquez Marín,95
,José María Vela Araña,94
,Salvador Palomino Villagómez,
,Esteban Cabrera Acevedo,50
,Mariana Saavedra Barela,42
,Dolores Maestas Reynoso,56
79030,,
,Cristobal González Sanches,37
79030,Rubén Vásquez Esquibel,-109
,Emilia Treviño Rodríguez,94
79033,Julio Portillo Rico,-53
79034,,23
79034,,
79035,,13
79035,,88
79035,Sr. Ángela Ibarra Ávila,-12
,Sta. Andrea Huerta Valenzuela,50
79041,,85
,Concepción Barrientos Alaniz,83
79049,Carlos Romo Alarcón,-56
79050,Sr. Ignacio Toledo Ruiz,-57
79051,Óscar Mares Véliz,-74
79051,Isabel Pineda Villalpando,-71
79052,,69
79058,José Alcántar Lozano,-76
79058,,34
79059,Silvia Granados Caraballo,-31
79059,,10
,Sra. Florencia Contreras Sáenz,19
79060,,58
79072,,102
,María José Carbajal Gómez,106
79077,,83
79077,,15
79077,,10
79103,,9
79103,María Cristina Meraz Mireles,-86
79104,,35
79104,,16
,Marta Coronado Olivas,81
79112,Sta. Antonio Lomeli Zarate,-51
,Sta. Elvira Delagarza Mercado,48
79112,Sta. Ramón Tórrez Arenas,-44
79112,,32
79114,Sra. Germán Terrazas Armas,-45
,Sr. Caridad Madrid Partida,52
,Cristian Alarcón Mora,
,Anita Candelaria Reyes,95
,Julia Perea Marín,-52
79122,,103
,Teresa Madrid Ramírez,58
,Alejandro Menéndez Marroquín,70
79124,,28
79127,Rosario Salcido Tamayo,-72
79127,Benito Zaragoza Anaya,-83
,Jorge Calvillo Lucero,64
79129,,85
79133,,79
79133,,57
79134,Sr. Lucia Valladares Borrego,-101
,Magdalena Granados Rodarte,99
79140,,6
79140,,
79141,,65
,Sr. Cristian Guerra Laureano,46
,Sr. Salvador Verdugo Parra,27
79147,Clara Deleón Concepción,-43
,Sta. Federico Aragón Hidalgo,79
,Teodoro Varela Arriaga,92
79148,,
79149,Diego Polanco Menchaca,-74
79150,,10
79170,,
,Juan Carlos Alcántar Yáñez,15
79178,,21
79183,Óscar Amaya Banda,-12
79184,Rafael Moreno Rolón,-94
,Tomás Ochoa Ortiz,9
,Sr. Juana Crespo Ríos,71
,Óscar Ornelas Estévez,90
79194,Sr. Elisa Adame Saldaña,-82
79197,Juan Carlos Cordero Méndez,-66
79198,Elena Apodaca Treviño,-40
79205,Mónica Niño Flores,-75
,Sra. Sancho Cepeda Badillo,21
79207,,105
79208,Manuela Arreola Zaragoza,-12
79208,Sra. Joaquín Melgar Vera,-60
79209,,99
79215,,63
79216,,43
79216,Marcos Soria Gaitán,-48
,Alberto Soria Serrano,33
79218,Amalia Morales Serrano,-21
79221,,90
79222,,35
79222,Caridad Quiñónez Mateo,-91
,Juan Carlos Gamez Orellana,50
79233,José Luis Melgar Zambrano,-71
,Sra. Rubén Enríquez Rocha,-82
79242,,6
79243,Marco Antonio Zayas Pichardo,-105
79243,Ariadna Alarcón Díaz,-9
79244,,25
79244,Diana Sánchez Mares,-19
,Guillermo Rolón Muñiz,110
,Sta. Juan Carlos León Villagómez,-15
,Sta. Alejandra Quintanilla Alonzo,34
79251,,110
,Diana Llamas Ávila,49
,Carmen Venegas Navarro,29
79261,,39
79262,Eva Jaimes Jimínez,-47
79262,,-11
79263,Agustín Castellanos Alonzo,-30
,Sra. Santiago Salinas Cabrera,90
79264,,14
,Norma Berríos Montaño,18
79265,Sr. Emilia Vergara Olivares,-49
,Pilar Preciado Casárez,22
79268,,35
79268,,20
,Claudia Ocampo Castellanos,52
79275,,85
79279,,
,Elena Cervántez Sanabria,52
,Carlos Limón Macías,-42
,Antonio Merino Reynoso,28
79288,Guillermo Tijerina Jaime,-28
,Norma Baeza Guevara,100
79293,Victoria Gómez Contreras,-33
,Benito Montoya Yáñez,64
79328,,46
,Benito Arteaga Guzmán,82
,Benito Ocampo Rosado,49
79335,Marisol Almonte Cintrón,-56
79340,,107
79340,Marta Gallardo Granado,-49
79340,,104
79341,Laura Cintrón Perales,-43
,Carlota Suárez Navarro,34
79342,Luz Patiño Patiño,-109
,Sra. Carmen Arias Nevárez,48
79346,Bernardo Longoria Solano,-30
,Sta. Ángela Tovar Olivares,59
79351,Teodoro López Ortega,-38
,,61
79360,,35
,Gilberto Franco Huerta,75
,Mario Enríquez Tamayo,68
,Francisca Guillen Pedraza,27
,Laura Mojica Reséndez,80
79374,,72
,Carla Cazares Orosco,3
79375,Javier Hidalgo Lucio,-43
79375,Débora Salgado Montes,-34
79382,,66
79388,Juan Díaz Melgar,-88
,Benito Cintrón Feliciano,63
79393,,108
79394,Cecilia Ortiz Bernal,-37
79395,Sr. Ignacio Roldán Batista,-70
79395,Sr. Isabel Ozuna Martínez,-80
,Sr. Manuel Posada Arce,27
79397,Sofia Polanco Adame,-85
79407,,98
79411,,71
79412,Adriana Roque Gallegos,-46
79417,Julio César Viera Holguín,-90
,Luisa Arellano Centeno,40
,Enrique Almanza Garza,51
79816,Gabriela Lucero Hurtado,-99
,Rebeca Prado Uribe,91
,Hernán Rosas Oquendo,7
,,88
79423,,64
,Roberto Jaimes Huerta,86
,Daniel Peres Carrera,33
79426,,81
,Laura Escamilla Jáquez,76
79440,,35
79448,,70
,Federico Calderón Mares,53
,Ernesto Véliz Leyva,48
79451,Elena Ferrer Posada,-104
,Caridad Palacios Muro,63
79453,,71
,María Cristina Villarreal Malave,-18
79454,,19
,Ricardo Tello Santana,24
79454,,79
,Norma Montaño Segovia,95
79463,Sra. Ignacio Adorno Alaniz,-22
79479,,14
,Víctor Pabón Maestas,79
,Sra. Fernando Montez Herrera,109
79481,Sta. Julio Zelaya Pineda,-88
79484,,26
,Hugo Meza Quintana,109
79484,Antonia Cepeda Barela,-15
,Manuel Meléndez Calvillo,42
,Vicente Iglesias Cardenas,23
,Horacio Tirado Pacheco,91
79487,Raquel Rolón Angulo,-54
79491,Miguel Griego Trujillo,-45
79492,,5
,Ariadna Arreola Herrera,44
,Sancho Paz Garrido,60
,Sr. Óscar Matos Treviño,93
,Santiago Saldivar Partida,73
79509,,18
,Jesús Perales Rivera,92
,Jesús Nazario Hernandes,75
79518,Reina Razo Corrales,-90
79519,,42
79521,Enrique Figueroa Samaniego,-46
79522,Agustín Deleón Balderas,-93
,Sta. Carolina Cantú Cisneros,-54
79528,Sta. Anita Preciado Cazares,-36
79528,,84
79529,,67
79533,Samuel Yáñez Bahena,-81
79533,,110
,Cristina Mora Godoy,11
79535,,-83
79535,,51
79536,Emilia Cortez Barrios,-80
,José María Bravo Balderas,-20
,Cecilia Lucio Valverde,37
,Sr. Magdalena Henríquez Briseño,41
,María Luisa Arevalo Ocampo,24
,Carolina Espinosa Solorzano,18
,Sra. Cristobal Viera Zapata,62
,Ignacio Rosario Cepeda,41
,Anita Alcántar Colón,38
79645,,58
79551,,34
,José Luis Castellanos Bustos,15
79557,Santiago Osorio Varela,-87
,Amalia Narváez Rivas,13
79558,,53
,,100
79559,,17
79564,,94
,Gabriel Gurule Arguello,100
79565,,-71
79566,Diego de Anda Pedraza,-7
79566,,62
,Fernando Batista Serrato,6
79567,,28
79568,,69
79568,Ramona Valles Escamilla,-85
,Patricio Carreón Ceballos,77
79568,,56
79568,,76
79569,Agustín Acevedo Guzmán,-109
79569,,94
,Benito Badillo Vela,45
79573,Lorena Páez Enríquez,-48
,Sr. César Dávila Almaraz,49
,Armando Arellano Arellano,6
79575,,64
,Yolanda Serrato Lovato,19
,Soledad Solano Franco,42
,Miguel Marrero Valdés,28
79582,,69
,Lola Fierro Orellana,6
79589,,62
,Fernando Galindo Montaño,75
79591,,51
79592,Carolina Velázquez Santacruz,-65
79593,,5
79593,Rafael Irizarry Ramírez,-67
,Sra. Emilia Orozco Cabán,98
79612,Ricardo Ureña Lemus,-10
,,58
79618,Miguel Duarte Jurado,-12
79623,Vicente Domínquez Rodríguez,-40
79626,José Eduardo Rojo Riojas,-41
,Cecilia Loya Espinoza,-53
,Natalia Ponce Gurule,42
79631,,41
79632,,85
79646,,90
,Sra. Eva Vargas Terrazas,32
,Raúl Ureña Camacho,96
,Enrique Briseño Jurado,60
79655,,103
79656,Elsa Valentín Pérez,-34
79656,,3
79656,,79
,Graciela Valdés Villagómez,96
,Andrés Maldonado Villalpando,35
,Lourdes Peña Calvillo,3
79674,Sr. Ángela Aguirre Barrientos,-51
79675,,98
79675,,100
,José Ledesma Quesada,106
79691,Benito Guerra Valle,-100
79698,,15
,Sta. Alberto Gamboa Terán,66
79698,,99
,Beatriz Camarillo Collado,46
79699,,56
,Marcela Sanches Loera,8
79699,,35
79700,Guadalupe Ybarra Moreno,-39
79700,Jerónimo Arriaga Melgar,-36
79701,,66
79701,,9
,Sta. Julio Armenta Quiroz,36
79701,,95
79711,,97
79711,Víctor Terán Sanabria,-22
79716,,49
79717,,43
79720,,101
79720,Marisol Padilla Anaya,-43
79724,,18
79724,,51
,Carlota Rodrígez Soto,54
79740,Estela Rojas González,-94
79741,,83
,Ester Caraballo Hernandes,
79742,,14
,Rubén Montemayor Tamayo,68
79745,,66
79745,,88
79748,,47
79749,,95
,Margarita Garibay Alcala,102
79768,Carlota Maya Abrego,-99
79768,Lourdes Madrigal Solorio,-72
79768,,90
79769,Luis Guerra Montes,-14
79770,Patricio Vázquez Carrera,-54
,Amalia Hernández Centeno,62
,Ernesto Palomo Centeno,109
79783,Nicolás Escobedo Ulibarri,-65
79786,,58
79786,,11
79786,María Eugenia Zambrano Guevara,-76
79787,Sra. María Teresa Quintero Alvarado,-80
,Sonia Rivera Miranda,57
79788,Rebeca Cedillo Heredia,-40
79788,,46
,Rocio Valentín Aponte,74
,Sra. José Eduardo Ocampo Rendón,108
79790,,67
79796,,87
79798,,86
79799,Francisca Rincón Bañuelos,-59
79810,,25
,Josefina Mojica Reyes,110
79810,,60
,Rosa Adorno Valadez,15
,Javier Rolón Delarosa,71
79818,,18
,Alfredo Tovar Regalado,13
79818,,25
79821,,-51
79821,Guadalupe Hernández Montes,-50
79822,Sara Quesada Leiva,-81
79822,,
79823,,36
79823,,30
,Rafael Venegas Roldán,50
79826,Salvador Quintana Peña,-80
79832,,57
79833,Cristina Mascareñas Palacios,-90
,Marcela Vargas Robles,15
79839,Graciela Lebrón Carrasco,-66
79840,Sr. Homero Briseño Alemán,-23
79840,Sara Ulibarri Bañuelos,-56
79841,,20
79843,,68
,Homero Heredia Sanabria,64
,,65
79843,Alicia Alvarado Arce,-50
79843,,-78
79844,Patricio Carrillo Alba,-33
79844,Verónica Bermúdez Zapata,-61
79866,Sta. Mariana Delvalle Borrego,-89
79867,Luis Varela Badillo,-77
,Rafael Yáñez Garza,93
79868,Alejandro Estrada Peralta,-52
79868,Fernando Contreras Gallegos,-51
,,5
79869,,4
,Alberto Mascareñas Zapata,78
79870,,28
79870,Julia Pedroza Ocasio,-79
79879,,
79883,Eduardo Rosario Vanegas,-62
,Carlos Trejo Arriaga,-94
,Lucas Altamirano Vela,56
79886,Cecilia Irizarry Tejeda,-82
79895,Jerónimo Botello Calderón,-36
79895,,63
,Bernardo Fernández Torres,95
,Alfredo Delvalle Santana,18
79911,,93
79929,,82
79932,,97
,Benjamín Montes Lovato,109
,María Teresa de Jesús Saldivar,37
,Yolanda Montoya Jaramillo,61
,Sara Núñez Guardado,30
79942,,67
79942,Sr. Timoteo Escobedo Matías,-30
,José María Ceballos Flores,23
79943,,21
,Raquel Holguín Baca,89
79944,,67
79944,,
,Susana Orta Medrano,95
,Martín Urías Altamirano,27
,Ramiro Ocasio Fierro,-25
79948,,-106
79950,Maricarmen Armijo Sandoval,-69
79950,,28
,Caridad Meraz Gollum,29
,José Eduardo Pulido Pabón,
79956,,29
,David Hidalgo Velásquez,15
79956,Sta. Marilu Pineda Gurule,-40
79969,,-104
,Berta Abrego Delapaz,23
,Marta Parra Soliz,26
,Teodoro Bonilla Flórez,43
,Cristian Banda Delrío,86
79991,,82
,Lilia Preciado Reyna,29
79995,,30
80002,Víctor Arroyo Carvajal,-53
80002,Marta Noriega Pérez,-6
80006,Isabel Muñoz Quiñones,-58
80007,,-82
,Martín Núñez Núñez,56
,Daniela Barragán Galarza,51
80009,,11
80017,Diego Jurado Alcala,-45
,Francisca Bustamante Rendón,5
80024,,55
80026,Sta. María José Ferrer Gurule,-51
,Sra. Homero Corral Páez,103
,Marco Antonio Méndez Fernández,-14
80043,,
80055,Eduardo Ayala Ulloa,-10
80059,Sra. Clemente Valverde Barrios,-43
,Blanca Núñez Olivo,51
80062,Catalina Salas Rojo,-14
,Leonor Gil Irizarry,
80063,,95
80063,Sr. Virginia Puente Villanueva,-82
,María Elena Ornelas Ramón,6
,Raúl Gil Bonilla,60
80065,Diana Martínez Chapa,-48
80065,,41
,Catalina Olivares Jurado,78
80076,,5
80088,,100
80091,Sra. Ricardo Salgado Crespo,-8
80092,,
,Julia Fuentes Garibay,5
,Sta. Lucas Madera Delgado,97
80119,,23
80145,Rosa Rael Valenzuela,-87
,Eduardo Navarro Valadez,78
,José María Padrón Valdivia,41
,,79
,Susana Castillo Escamilla,56
80133,,98
80134,Sta. Octavio Montero Salgado,-73
80134,Gustavo Lugo Ceballos,-99
,Cristobal Paredes Arteaga,93
80144,Esteban Guardado Cerda,-37
80146,,
,Teresa Carrero Meléndez,80
80148,Elisa Maya Portillo,-56
80151,,101
80151,Ramón Soliz Orosco,-30
80151,,76
80152,,102
80152,,63
,,57
,Jaime Sisneros Quiñones,-48
80156,,5
80156,,52
,Pilar Fierro Baeza,26
80157,Sta. Julio César Garrido Noriega,-85
80158,Juan Madrigal Gurule,-107
80160,Esperanza Mata Cortez,-102
80160,,77
80163,Enrique Solorzano Torres,-83
80163,Sr. Ramón Raya Rivera,-11
80164,María Luisa Carranza Miramontes,-30
,Sra. Miguel Prado Valverde,14
80165,,51
80166,Eloisa Aguirre Salgado,-100
80171,Rafael Carrero Bahena,-70
80172,Pablo Alba Barela,-20
80176,,78
,Homero Alva Cardona,58
,Sta. Santiago Villegas Vanegas,77
,Sta. Rubén Olmos Prieto,24
80204,,45
80205,,26
80205,Laura Arenas Preciado,-102
80206,,28
,Esperanza Díaz Matos,94
80209,Alfonso Valentín Valentín,-14
80210,,78
80211,,45
80212,,74
,Teodoro Véliz Navarrete,102
80229,,78
,Concepción Flores Romo,106
80230,,
,Adela Campos Alemán,110
80231,Sra. Rocio Gutiérrez Berríos,-99
,Anita Jimínez Cavazos,32
80232,,-100
80233,,29
,Sta. Julio Gálvez Rocha,79
80234,Óscar Abrego Roybal,-52
,,63
80238,Sta. Berta Menchaca Ibarra,-105
,Patricia Ulloa Ureña,-57
,Berta Lerma Jaimes,87
,Lourdes Delapaz Batista,63
80245,,6
80245,,108
,Hernán Barragán Delao,-18
80255,,93
80255,,91
,Marco Antonio Barragán Venegas,72
,Sra. Antonia Solorio de Jesús,45
,Graciela Rodríguez Gastélum,68
,Agustín Perea Mora,68
,María Teresa Robles Jaime,54
80276,,105
,Martín Araña Toledo,18
80278,,80
80278,,70
80281,Blanca Márquez Treviño,-107
80282,,96
,Clemente Castillo Delrío,28
80288,,110
80289,,81
80289,Sr. Gilberto Cotto Rosado,-67
80289,Ana Angulo Olmos,-22
80290,Sra. Samuel Huerta Holguín,-55
80290,,77
80291,Timoteo Loya Paredes,-58
,Sta. Estela Toro Rojas,
,Leticia Ríos Covarrubias,64
80292,,88
80292,,94
,Ramona Salcedo Camarillo,105
80302,,27
,Sta. Ramona Haro Negrón,
80303,,68
,Arturo Sevilla Madrid,104
80304,,61
80322,Julia Barajas Sisneros,-104
80342,,87
,Cecilia Bustamante Arreola,78
80351,Sofia Barela Meza,-80
80352,,27
80352,Pilar Batista Meraz,-29
,María Cristina Sepúlveda Valencia,19
80360,Julio César Gil Jiménez,-94
80361,,14
,Eloisa Cedillo Orosco,95
80363,,61
80367,Salvador Esquivel Arevalo,-71
,Rubén Linares Henríquez,82
80367,Marcela Vaca Galván,-28
,Miguel Becerra Maestas,42
80493,Sta. Isabela Rodríguez Carrera,-59
80374,,
80380,,19
80381,Marta Henríquez Solís,-106
,Joaquín Medrano Hernández,42
,Sra. María Eugenia Hernandes Aguayo,83
,,51
80401,,98
80402,Sr. Manuela Pizarro Alcántar,-110
,Francisco Castellanos Ceja,110
80409,Rosa Hernández Dueñas,-38
,Daniel Santillán Ceballos,71
80412,Jaime Arteaga Hernandes,-103
80414,,79
80424,,39
,Cristobal Serrato Gallegos,9
80428,,3
,Rebeca Menéndez Valadez,12
80494,,40
,Lucas Samaniego Covarrubias,
80445,Cecilia Matos Villaseñor,-68
80445,,15
,Gregorio Leiva Ochoa,13
80450,Sra. Catalina Abreu Lara,-9
80451,,
,María Solís Molina,59
80451,,24
80453,Carlota Madera Vela,-60
,,42
80459,,58
,Jorge Alonzo Bernal,40
,Sr. José María Velázquez Rosas,56
80461,Beatriz Guerrero Valencia,-16
,Armando Tirado Tapia,47
80495,Sr. Miguel Anguiano Briones,-77
,Miguel Duran Camarillo,74
,Mariana Delatorre Niño,57
,Antonio Lozada Orosco,87
,Emilio Moya Escobar,96
,Diana Mateo Ledesma,95
80483,,91
80486,,65
80490,,19
,Alejandra Bustos Fernández,76
80491,,54
80499,,-18
,,52
80505,Ester Lara Rodríquez,-6
,Sra. Armando Negrón Lira,110
80516,Jorge Solís Marroquín,-84
,Sancho Zepeda Viera,73
80531,,27
80531,,74
,Cristian Fonseca Cabrera,40
80541,Lorena Urías Ochoa,-10
80542,,61
,Gerardo Reynoso Madrigal,82
80543,Diego Espinal Vásquez,-46
,Lilia Sandoval Ávila,98
,Isabel Alvarado Benítez,61
80546,Agustín Casas Escobar,-15
80546,Manuel Roque Uribe,-87
,Jorge Alfaro Cerda,29
,Rubén Ayala Villalobos,95
80560,,80
80565,,54
,Pedro Carranza Saucedo,25
80573,,106
,Pablo Cano Terán,69
80580,,53
80580,Sra. Benjamín Laureano Marín,-14
,Armando Alcántar Mercado,96
80582,Jerónimo Longoria Narváez,-14
80583,Eloisa Ponce Acevedo,-69
,Sancho Collado Becerra,-97
80587,,21
,Horacio Moreno Olivo,19
,Elsa Ramírez Delao,105
,Octavio Hernández Díaz,50
80596,,40
,Hernán Cornejo Granados,77
,Ricardo Iglesias Mata,42
,Víctor Abrego Dueñas,29
80617,,-63
80620,Sr. Elsa Adorno Terrazas,-90
80620,Homero Esparza Montero,-27
,Rocio Muñoz Zúñiga,98
,Irene Gaitán Bernal,105
80622,,6
,Sta. José Luis Razo Razo,58
80623,Barbara Guillen Lucero,-11
80632,Rebeca Lucio Navarrete,-86
,Beatriz Pabón Cervántez,53
80638,,106
80643,,4
,Rafael Regalado Serrato,29
80652,Jerónimo Rojo Menchaca,-21
,Esteban Hernández Dueñas,29
,Susana Zapata Vanegas,71
,Arturo Villarreal Fierro,-17
80658,Débora Beltrán Almanza,-80
80660,,105
80665,,83
80665,Mercedes Villalobos Ruelas,-25
80667,,15
80667,Hernán Gastélum Pineda,-108
80667,,-83
,Luis Miguel Cavazos Montez,76
80672,,29
80672,Yolanda Cabán Miranda,-14
80672,Diego Salcedo Longoria,-87
,Sta. Luis Miguel Carrero Ledesma,73
,Margarita Valencia Valladares,
80679,,27
80680,Inés Alonzo Ibarra,-110
80681,Mario Rangel Arenas,-32
80681,,21
80682,,61
,Rosario Jimínez Barajas,35
80684,Jacobo Castro Concepción,-102
,Patricio Rivas Valdés,26
80693,Sra. Lucia Agosto Fajardo,-89
,Elsa Ulibarri Ybarra,67
,María Soledad Meraz Rangel,35
80696,Mario Valdez Pantoja,-49
,Sr. Alejandro Nieves Soliz,91
,Isabela Vaca Espinosa,
80702,,27
80702,,22
80703,Guillermo Iglesias Olivera,-62
80703,,51
,Sra. Daniel Valdés Agosto,27
,Carla Barrera Armenta,
,Manuela Cabán Ortega,23
,Sr. Susana Chavarría Alfaro,-98
,Hugo Alemán Rico,14
80733,Dolores Prieto Espinosa,-29
,Ignacio Ortiz Preciado,41
80734,María José Bueno Escobar,-94
80739,,
,Emilia Rincón Urrutia,12
80740,,72
80741,,98
,Juan Carlos Reyes Aponte,10
80741,Esperanza Nieto Nava,-75
80743,Maricarmen Cepeda Verdugo,-47
80744,,61
80747,Sonia Villareal Peralta,-24
80747,Cecilia Franco Candelaria,-44
,Carmen Luevano Henríquez,80
,Teodoro Zayas Becerra,72
80752,,33
80752,Claudia Cordero Córdova,-10
,Marco Antonio Loya Alva,52
,Laura Baeza Garibay,36
80788,,39
80789,,21
80790,Jaime Olivárez Reynoso,-33
,,48
80804,,40
,Sancho Tamez Córdova,13
80808,,13
80812,,107
80812,María Luisa Juárez Menéndez,-38
,Víctor Rivera Quiñones,39
,Sr. Silvia Serna Longoria,87
80821,,79
80822,,39
80832,,28
80832,Conchita Hernandes Barraza,-57
80844,,95
,Sra. Luis Miguel Sierra Huerta,-68
