nombre,correo,contrasena,username,telefono_contacto,run,puntos,jornada,isapre,contrato,dv
Sra. Joaquín Rocha Aguirre,sra.4187466@outluc.com,,sra.6621384,+56 2 5101 8962,2016612,0,,,,6
,starlovi445@viajesanma.com,QMLOzccrm7hU1C2,starlovi826,+56 2 1161 2098,10263947,6846,,,,2
Hugo Figueroa Dávila,,4LhChSdTO5LjaHLX,Hugodávila664,,25261641,16003,,,,1
Ricardo Olmos Otero,,pJjwf4wkeYHDto8b,Ricardootero102,,20454407,9800,,,,7
Joaquín Quesada Terán,joaquín5779688@edubus.cal,kVY4I98IyQB,joqute474,+56 9 3166 0414,6217823,0,,,,K
Sta. Margarita Chávez Quiñónez,,xXL2bzjPsAziLfft,Sta.quiñónez514,+56 2 1690 7131,6194219,0,,,,K
Juana Cotto Valle,jucova846@wass.com,k3t1IGxLYlY,juana8108812,+56 9 7705 7602,8449259,10127,,,,0
Claudia Cuellar Briseño,clcubr185@tourket.com,,clcubr871,+56 9 3779 6622,17386340,0,,,,3
Conchita Ávalos Muñiz,,ZOXg3UhguN17jj5W,coávmu849,+56 9 5905 4230,6949938,,Diurno,Colmena,Full time,4
Sta. Beatriz Ureña Calderón,sta.6372483@wass.com,f052qmOV,Sta.calderón925,+56 2 4737 0091,3197907,0,,,,2
Juan Carlos Rangel Herrera,,47w4MMlWe0Y,jucarahe651,+56 9 5445 8998,10308907,,Diurno,Colmena,Part time,7
Sr. Ángela Ocampo Zayas,sránocza476@viajes.cl,3AHQ5hr5,Sr.zayas958,+56 2 4292 4598,710952,,Nocturno,Colmena,Full time,0
Sara Coronado Pelayo,sacope302@edubus.cal,D3086REYignWrT,,+56 2 0787 1570,28699422,-706,,,,9
Sra. Raúl Quintanilla Aranda,srraquar307@viajesanma.com,iPKmehP87BPo,srraquar508,+56 9 5114 3887,-26603194,0,,,,7
Elsa Crespo Villalpando,Elsavillalpando941@viajes.cl,H6M7qLG5m,Elsavillalpando465,+56 2 2866 5111,5524282,,Nocturno,Más vida,Part time,8
,,N3NMwwntJTp55m,maría377164,+56 2 6394 6518,20340678,0,,,,9
Sr. Javier Aranda Jaime,srjaarja449@marmol.com,FAtjeEvJc22L,srjaarja976,+56 9 8481 9190,2535701,10414,,,,9
Ana Duarte Jáquez,ana8383232@tourket.com,5NG0gOQq,Anajáquez186,+56 9 0010 2610,-15097621,22804,,,,9
Juan Carlos Cortés Alaniz,,M8PopqxB,Juanalaniz456,+56 2 6775 6779,6365109,3773,,,,5
,,ld30kRYw,Teresaflórez761,+56 2 1088 1794,10990638,6378,,,,7
Martín Saldivar Lara,Martínlara796@wass.com,OZ3qX1g7A,masala872,+56 2 1136 3107,360197,2103,,,,8
Luisa Márquez Bermúdez,lumábe240@viajesanma.com,1mlRUNMX9w,luisa2791123,+56 9 4717 7911,5431874,0,,,,K
Ángela Berríos Alba,Ángelaalba718@viajesanma.com,aFQ1XeKP,ánbeal178,,9409857,3164,,,,2
Marilu Rivas Avilés,,Ce4Avna2mk9HNZw,mariav146,+56 2 8261 5154,-19126049,,Diurno,Fonasa,Full time,K
Alejandro Parra Zavala,alpaza322@outluc.com,zYzL5VgZGia,alejandro1564688,+56 2 9192 0145,4248324,0,,,,9
Florencia Rivera Menéndez,Florenciamenéndez180@marmol.com,S5G3nlqA,florencia687672,+56 2 9833 5968,-26541556,4994,,,,3
Lorena Sevilla Rojo,losero995@viajesanma.com,3W1pYvKJ,losero389,+56 9 9355 2955,1012366,,,,,6
Raquel Cazares Robledo,raquel6455489@edubus.cal,sF2kDV4x2I,,+56 9 4861 1181,27445347,4224,,,,8
Octavio Córdova Varela,Octaviovarela475@tourket.com,X10slt1HXp5AIg,Octaviovarela851,+56 2 6891 0665,226155,5061,,,,3
Sta. Victoria Camacho Rodrígez,stvicaro967@viajes.cl,mO3PDFD7V7Jip,sta.8669640,+56 9 5177 0454,,,Diurno,Fonasa,Full time,
Nicolás Parra Villalobos,nipavi377@edubus.cal,8CbKsG5EFo,Nicolásvillalobos619,+56 9 0573 8626,2300926,13952,,,,9
Débora Grijalva Serrano,Déboraserrano711@edubus.cal,CHcE1xIX8j,débora4074112,+56 2 3621 7182,657775,591,,,,K
Leonor Urrutia Calvillo,leonor2290253@marmol.com,64G6Trbk0oN,leurca572,+56 9 0326 8782,-25689751,8712,,,,2
Sra. Susana Ruiz Ponce,sra.1334886@marmol.com,,srsurupo186,+56 9 0109 3141,,12226,,,,
Sr. Sara Tafoya Delrío,sr.3433158@viajesanma.com,jG1SPtguA5,sr.3669499,+56 9 8221 7232,9809784,0,,,,8
Ernesto Moya Navarro,Ernestonavarro302@viajes.cl,INrNCJIL7Yb0E,Ernestonavarro978,+56 2 7320 7210,5831554,,Diurno,Colmena,Part time,0
Sr. Ramona Orosco Sáenz,sr.4903927@viajes.cl,hkeI6OnTA5SuSCqy,Sr.sáenz495,+56 2 3878 5887,4725381,,Diurno,Colmena,Part time,0
Graciela Corral Montañez,graciela726552@outluc.com,m7fWrqT2Jtq9,grcomo301,,8039914,0,,,,6
Reina Rivas Rosario,reina1002348@wass.com,,reriro210,+56 2 4724 5262,17363300,7333,,,,9
Sra. Alejandro Montenegro Limón,sra.9186560@outluc.com,KMzN0KJ7YtI,sralmoli618,+56 2 2217 7887,2932943,6873,,,,5
Sra. Salvador Carreón Bueno,sra.1385508@viajesanma.com,h5kGfA8Ky,srsacabu460,+56 2 2904 2034,7838115,7588,,,,9
Patricia Palomino Adame,Patriciaadame600@viajes.cl,N5DkZkzbGC,papaad535,+56 2 6976 7083,-13672787,,Nocturno,Fonasa,Part time,7
Sta. Mariano Gallegos Iglesias,stmagaig212@outluc.com,oQP3Ralm0i6lOGMu,sta.9072502,+56 2 1773 8776,8093035,23631,,,,6
Miguel Guzmán Lebrón,miguel3924625@edubus.cal,5RkIyx4oAINxMe,miguel945474,+56 9 7756 2167,5963628,0,,,,6
,Lucasfernández994@wass.com,TQl8ZvjrpFjmXln2,Lucasfernández957,+56 9 7279 3752,-7839402,0,,,,1
Óscar Hernández Zambrano,ósheza630@viajes.cl,,ósheza687,+56 9 7656 0208,9072998,,Diurno,Colmena,Part time,5
Leonor Molina Granado,,r0LmGcYIMxn5,,+56 9 4697 5495,3824246,2187,,,,6
Anita González Acevedo,angoac972@viajes.cl,zCUeIWGib6756b,anita278408,+56 9 2062 3139,9940474,,Nocturno,Fonasa,Full time,4
Sta. Mayte Ordóñez Arenas,stmaorar895@tourket.com,RFyL8I53flyTE5K,Sta.arenas199,+56 9 3584 6072,4235544,0,,,,5
Sara Muñiz León,,LxWTy49xbV74GhI,sara5449654,+56 2 3762 6277,7713558,0,,,,8
,ariadna8670327@outluc.com,T4XPUJWFYw3UY,ariadna9687685,+56 9 5728 8087,23918243,0,,,,7
María Luisa Rosario Leyva,maría836291@marmol.com,,malurole167,+56 2 0334 5087,14585169,0,,,,6
Emilia Aranda Cintrón,emarci670@edubus.cal,FCSt971B2,Emiliacintrón830,+56 2 4049 0429,6731491,,,,,3
,caveto330@wass.com,9PnMMot5VJXFlTYm,carolina4884585,+56 2 8500 1178,29825092,0,,,,6
Sta. Gerardo Lovato Cabán,Sta.cabán461@tourket.com,T2F3Tbcp,stgeloca434,+56 9 0220 9502,6048418,23166,,,,K
José María Valencia Villegas,Josévillegas181@viajesanma.com,1JXl5i6X8avSaG,Josévillegas171,,9243107,27925,,,,K
Verónica Casárez Rodrígez,verónica1481805@viajes.cl,mTBDOV3jNtNo0,vecaro880,+56 9 7472 6950,4122017,,Nocturno,Consalud,Full time,1
Federico Robledo Valentín,ferova525@viajes.cl,criWWj3hInq0cy,ferova846,+56 2 9650 2430,1999756,,Diurno,Fonasa,Full time,1
Salvador Samaniego Campos,,jIyzirA32HQTDl,Salvadorcampos949,+56 2 7346 9326,8241240,5966,,,,9
Ricardo Garrido Aguilera,,Q6AJ8q0FzRGwaMQp,ricardo2474929,+56 9 9391 5210,4479646,,Diurno,Fonasa,Part time,5
Sra. Francisco Gaytán Angulo,Sra.angulo414@marmol.com,80s5U0XvG7NFPWw,Sra.angulo543,+56 2 7772 1309,2628684,0,,,,0
Gonzalo Colunga Vergara,gonzalo1079651@viajes.cl,M43tIekCE,gonzalo2205430,+56 2 0439 9217,4906880,,Nocturno,Consalud,Part time,8
Agustín Ibarra Trujillo,agustín3885216@wass.com,pq0vryTnOOCp4x,agibtr668,+56 2 4829 3107,7620641,0,,,,4
Sr. Alfredo Escamilla Segovia,sralesse716@viajesanma.com,63PRWZu2M2e,sralesse942,+56 2 7835 5408,3505050,0,,,,7
Emilia Arguello Montaño,emilia1000632@tourket.com,5Z09rRDiqtgSRP,,+56 2 0525 6881,18223061,1992,,,,8
,Ernestobarraza502@viajes.cl,INGtwz9MZX,ermeba875,+56 2 6059 5508,14042825,,Nocturno,Banmédica,Full time,6
Leticia Muñiz Villanueva,,,Leticiavillanueva572,+56 2 0853 2580,16155457,20573,,,,K
Leonor Vanegas Duran,levadu330@marmol.com,,Leonorduran442,+56 9 8536 8650,11600909,2061,,,,9
Eva Lemus Carranza,Evacarranza419@viajes.cl,TRmJ4303abymm,,+56 2 7613 2942,15119234,,Nocturno,Consalud,Full time,3
Sta. Dolores Deleón Colón,sta.8353426@wass.com,PzHU5U289xwVCSlh,sta.6683383,,,2705,,,,
Guadalupe Chávez Garica,,WvDnBtNAxS9,guadalupe3643604,+56 2 1575 0017,23522043,13783,,,,1
Daniela Frías Ramos,Danielaramos196@viajesanma.com,,dafrra470,+56 9 9171 1991,6394319,5008,,,,3
Teresa Alemán Zúñiga,,K2RnK0g0nwgBbiZ,teresa6284141,+56 2 0852 9601,22463486,469,,,,2
Ana Luisa Barraza Henríquez,anlubahe592@viajes.cl,YtVMd1ikA0,anlubahe699,,1913440,,Diurno,Banmédica,Part time,7
Sr. Raúl Carrion Gurule,Sr.gurule806@wass.com,,srracagu524,+56 2 5151 2018,20880807,4816,,,,9
Esteban Aguirre Vigil,Estebanvigil908@tourket.com,UWMw6haP,esagvi235,+56 2 2583 3891,3354252,0,,,,6
Blanca Zúñiga Gracia,blanca6823666@viajesanma.com,sSpV877S4Nj5TKLY,blzúgr127,+56 9 7870 3992,3773914,9895,,,,6
Conchita Corrales Santiago,,cE68j5Ar1YrJ3W,Conchitasantiago523,+56 2 7156 8033,8169717,,Diurno,Consalud,Part time,5
Lilia Almanza Castillo,lilia8931915@viajes.cl,zAcCv9O6WCkn92k,Liliacastillo579,+56 9 9565 1220,4950197,,Nocturno,Más vida,Part time,8
Sr. Federico Araña Arguello,srfearar146@outluc.com,fWq6GOnQtZTKYd,Sr.arguello323,+56 2 9044 2710,3720150,23343,,,,2
Ester Aponte Mares,Estermares578@viajes.cl,s57vRk3f5N,esapma695,+56 2 6514 6286,7356158,,Nocturno,Más vida,Part time,2
Sra. Salvador Duarte Romo,,3yyEiE2f9RWq,srsaduro114,+56 9 2128 4319,20722616,,Diurno,Colmena,,5
Graciela Cuellar Gollum,graciela1787859@tourket.com,PvV2CnLJjXF34fP,grcugo121,+56 2 8234 0344,-15785754,24039,,,,1
Benjamín Padilla Vázquez,benjamín9121501@edubus.cal,9h25k6zMBbdV,benjamín6006986,+56 2 9215 7381,3836198,16340,,,,8
Horacio Duarte Ortega,hoduor430@marmol.com,uB9aGcqt,hoduor704,+56 9 1691 5165,3601361,-574,,,,3
Ana María Ayala Duran,anmaaydu522@viajes.cl,xGk8h8xNO7HoHr,anmaaydu726,+56 9 4919 8159,6706893,,Nocturno,Banmédica,Part time,9
Magdalena Galván Tamayo,magata187@marmol.com,,magata106,+56 9 3227 7945,19583369,0,,,,9
Rocio Salas Flores,rocio8701276@tourket.com,,rosafl192,+56 2 1649 1339,18040173,2478,,,,3
Lucas Domínguez Frías,Lucasfrías890@edubus.cal,FxE1t32jYUb,lucas3116305,+56 2 9917 6453,,5094,,,,
Ramiro Alcaraz Garza,Ramirogarza269@wass.com,w4KPiDWRFX,Ramirogarza930,+56 9 9967 1799,2593023,-7112,,,,1
Rosa Guajardo Torres,roguto488@viajes.cl,XJgwdm3D13m3nWH,roguto911,+56 2 4189 1688,,,Diurno,Consalud,Full time,
Micaela Mota Quiroz,Micaelaquiroz905@outluc.com,,,+56 2 2348 0368,-9859268,7245,,,,7
Hernán Ojeda Mondragón,heojmo408@viajesanma.com,VwLH4MoJuipu8Zy,,+56 9 9949 2252,14296624,4805,,,,7
Margarita Fajardo Villagómez,margarita3548373@edubus.cal,cr3hh0Dy0b,mafavi184,+56 2 6175 7891,4628606,0,,,,5
Gloria Esquibel Roldán,Gloriaroldán400@edubus.cal,WdPOKHK2,Gloriaroldán816,+56 2 3277 6812,,6800,,,,
Sta. Juan Terán Roldán,stjutero969@tourket.com,GyW4u0gJTgzfgrFn,Sta.roldán635,+56 9 8763 4206,9942747,0,,,,7
Miguel Maldonado Corral,mimaco244@viajes.cl,JBMD0PAajMhX,mimaco697,+56 9 2867 3079,9594552,,Diurno,Colmena,Part time,K
Diana Montoya Aguilera,Dianaaguilera969@viajes.cl,6m4rs02B,dimoag871,+56 9 7620 4034,,,Nocturno,,Full time,
Sr. Guillermina Salinas Espinosa,srgusaes484@outluc.com,9Kq0qqSmzYVwKY5,Sr.espinosa149,+56 9 0136 3450,9600790,-3021,,,,6
Sra. Maricarmen Quiñónez Mata,srmaquma481@wass.com,Wj36ubpLBMqeF,sra.241420,+56 2 6287 5718,7530869,2216,,,,8
Lorenzo Santana Delapaz,losade601@outluc.com,2qneoGgeAuDNb95,losade937,+56 9 8973 0203,5520957,0,,,,K
,maricarmen5245481@wass.com,3Silf94ZXZCXzwdJ,Maricarmenpalacios976,+56 9 2062 2649,21922213,11060,,,,0
Marisol Serrato Carbajal,Marisolcarbajal216@outluc.com,,Marisolcarbajal311,+56 2 4826 3814,27957661,2064,,,,6
Sta. Emilio Sarabia Brito,sta.9844799@viajes.cl,9y0qm5XL,sta.3167180,+56 9 2206 4235,2865906,,Diurno,Colmena,Full time,7
María Eugenia Palacios Delapaz,maría5802899@viajes.cl,K7Qki0xn7d,maeupade969,+56 2 4938 7423,3633732,,Diurno,Colmena,Part time,K
,Victoriaoquendo513@tourket.com,YD3SlESuqa4f,victoria6448255,+56 2 9270 5051,24743941,10108,,,,2
Arturo Balderas Gollum,arbago102@marmol.com,wCO6Smgg5OXoiX,arbago180,+56 2 6735 6316,3276513,2933,,,,0
Daniela Girón Terrazas,Danielaterrazas901@edubus.cal,NMwo3Gbl43pJPe,daniela2442149,,637919,0,,,,2
Rosa Reynoso Márquez,rosa4990751@viajes.cl,3V5YFiizPggzLu,Rosamárquez335,+56 2 1037 1504,,,Nocturno,Banmédica,Full time,
Micaela Pacheco Navarro,Micaelanavarro721@viajes.cl,CXb8r2Jw,,+56 2 8066 2893,21820785,,Diurno,Banmédica,Full time,5
Sr. Isabel Henríquez Batista,Sr.batista377@viajes.cl,9UVoTsKymU,srisheba453,+56 9 7842 1735,6158981,,Diurno,Más vida,,3
Francisca Henríquez Cervantes,Franciscacervantes436@tourket.com,IbUv7R7Ay1g5uAno,Franciscacervantes348,+56 9 9012 1479,,5260,,,,
,maría9006848@edubus.cal,gpyWc6w0oLdM10fH,Maríaquesada301,+56 2 5640 1734,1610962,15772,,,,2
Teresa Medina Rivas,temeri206@edubus.cal,Jwzcu4NTGIgqr65,temeri766,+56 9 2660 6922,7055640,5650,,,,5
Mateo Orozco Páez,maorpá777@edubus.cal,6xQtBvNP,maorpá943,+56 9 7568 4195,5248911,4225,,,,3
,alcato224@marmol.com,2rIlFEyXM2vsqvt,,+56 2 0224 0679,1913969,4976,,,,7
Sra. Cecilia García Sáenz,srcegasá733@viajes.cl,xG83qQ3YHyvY,sra.7059841,+56 2 5967 1663,398475,,Diurno,Consalud,Full time,3
,luz7344853@viajes.cl,ixIY0PTXqyPP3j,luhupu467,+56 9 0223 3403,29155756,,Diurno,Consalud,Full time,2
Lourdes Sepúlveda Jaime,Lourdesjaime278@outluc.com,Q7RcHIJwDsTKY9,Lourdesjaime846,+56 2 7734 5273,921365,19386,,,,1
Alejandro Mayorga Lara,almala353@outluc.com,G8xqFEsGKoPK5kK,almala398,+56 9 5616 4985,4044919,0,,,,1
Ana Luisa Fajardo Ochoa,,,ana8664771,+56 9 4417 0950,26527231,18609,,,,2
Sta. Emilio Muñiz Navarro,,781pq3Y891,,+56 9 5842 8362,22636534,4428,,,,6
José Anguiano Ballesteros,Joséballesteros167@tourket.com,g89XkyYnk8aUEM,joanba351,+56 2 1174 2957,4498772,306,,,,4
Elena Barela Montez,elbamo860@viajes.cl,HwSkxvtskg9,,+56 2 7092 9744,29914427,,Nocturno,Banmédica,Full time,5
,Sra.huerta265@viajesanma.com,z1YBqW84L,Sra.huerta985,+56 9 4756 4626,21967721,0,,,,9
Sr. Lorena Galván Romo,srlogaro943@viajes.cl,Jha2gjnDLoVa,Sr.romo162,+56 9 3030 6153,8786563,,Nocturno,Fonasa,Full time,0
Octavio Saldaña Soria,,QGn3XANbIrv,Octaviosoria202,+56 9 2879 4219,21147606,16235,,,,0
,pabear838@viajes.cl,qnrGQab1M6s36eR,patricio2188655,+56 9 1315 4607,,,Nocturno,Consalud,Full time,
Sofia Amador Portillo,Sofiaportillo314@viajes.cl,Fu507bKgtjZz,sofia5165830,+56 2 8606 0411,4538381,,Diurno,Consalud,Part time,4
José Montemayor Pantoja,jomopa723@wass.com,V4J7N0v3doRFbg6,josé8018377,+56 2 2197 7348,3327143,-4906,,,,3
Ramón Jurado Verduzco,Ramónverduzco522@viajes.cl,JBuqH8vI0Y,Ramónverduzco796,+56 9 5960 1712,8486911,,Diurno,Banmédica,Part time,2
María Cristina Ocasio Canales,maría3238354@viajes.cl,oSJs5lFmsYiYRmo,Maríacanales267,+56 9 1446 6028,6116028,,Diurno,Colmena,Full time,0
,viríca811@viajes.cl,VhsXS4ugM,virginia9808224,+56 2 9482 2490,4615482,,Diurno,Fonasa,Full time,7
Jacobo Murillo Armas,,4qD2CpdD1zzY,jacobo4400203,+56 9 6412 0497,744382,17062,,,,K
,Saraalarcón969@viajes.cl,TQ0LKJxCJmecln9,salual640,+56 2 3311 2390,23265933,,Diurno,Más vida,Part time,5
Hernán Ávalos Santana,,,Hernánsantana931,+56 2 1091 0836,3699303,11148,,,,0
,alesot998@viajesanma.com,o9S4xY7N49upu4,alesot218,+56 2 0242 8399,13133362,8355,,,,5
Sta. Francisca Sáenz Parra,Sta.parra332@viajes.cl,J4DzVaz08GTM,sta.5481290,+56 9 3489 5935,554881,,Nocturno,Banmédica,Part time,0
Alejandra Zaragoza Bermúdez,alejandra1633334@outluc.com,cLW6Zd6FwN,alejandra3060670,+56 9 9302 0755,4911386,1728,,,,2
Sta. Francisca Martínez Almonte,sta.6769137@viajes.cl,eryH7Rax5bQ,sta.9222158,+56 2 9890 8629,-4634667,,,Colmena,Part time,K
Sra. Pablo Quezada Nava,srpaquna207@viajes.cl,Dw07crS3F,srpaquna185,+56 2 0022 3809,3061273,,Diurno,Colmena,Full time,6
,Esperanzabanda491@tourket.com,Ngaf0C5w66X,esperanza1201579,+56 2 2744 6467,3344187,31407,,,,8
Sr. Mariano Toledo Roldán,srmatoro508@wass.com,ZiSu0jH9rcVw,Sr.roldán482,+56 9 5197 3192,8535913,9988,,,,4
Josefina Gracia Lira,josefina4470996@viajesanma.com,6qU184t3AWHE5,,+56 2 6845 3478,19243345,3110,,,,2
Concepción Rivas Sierra,concepción7470878@wass.com,9mtpcoW3qTLKGKMs,concepción767491,+56 2 9299 2381,6902764,23185,,,,4
Amalia Aponte Guerrero,amapgu909@viajes.cl,Xm0vCQVhgTjsTx,amalia1067234,+56 9 2149 4647,6422318,,Diurno,Consalud,Full time,6
Cristina Soto Moreno,crsomo514@tourket.com,PayhSLI0uN4gHc,cristina7564509,+56 2 9440 1007,2781340,1325,,,,2
Marcela Zepeda Hidalgo,Marcelahidalgo659@viajesanma.com,i2Xl94GG2QFZS,marcela9068253,+56 9 9674 8206,2817505,867,,,,1
Jaime Montero Peña,Jaimepeña295@wass.com,ajjnA42KR,,+56 2 8613 4754,1903294,23786,,,,9
Pablo Llamas Palomo,pablo2181456@outluc.com,mfeUvZoIUoH6a45,Pablopalomo812,+56 2 9463 9556,-1810002,0,,,,9
Luisa Miramontes Valles,luisa872547@wass.com,wmaRSgy0BoXtdKt,Luisavalles285,+56 2 5389 5899,,,,,,
Sta. Natalia Zúñiga Mena,sta.6650224@outluc.com,3irXYa1DAu,stnazúme376,+56 9 8021 5491,8303826,0,,,,8
Sra. Antonia Rivera Santillán,sra.988333@tourket.com,Xs4BHj0c,,+56 2 8347 5388,26930118,,,,,K
Pablo Rivera Ulloa,,LjcqYfPCFI57,Pabloulloa817,+56 2 9804 8888,18036909,4081,,,,0
Sra. Inés Puga Iglesias,Sra.iglesias463@viajesanma.com,FHV0f3YCcCt,Sra.iglesias464,+56 2 3225 6703,4435592,3945,,,,2
Mónica Longoria Ríos,Mónicaríos936@wass.com,698tSKMkW,mólorí947,+56 9 2936 6219,1357912,2205,,,,1
Guillermina Ochoa Rosas,guocro846@viajesanma.com,,guillermina6391941,+56 2 8808 8518,14009791,11192,,,,8
Ignacio Zayas Miranda,ignacio7777975@wass.com,,Ignaciomiranda241,+56 9 9846 6956,29554121,0,,,,0
Ramiro Abreu Barajas,Ramirobarajas244@viajes.cl,GIN3FxlMDXTL6emg,Ramirobarajas508,+56 2 4119 2086,4873946,,Diurno,Banmédica,Part time,6
José Luis Mercado Noriega,Josénoriega657@edubus.cal,8Q4LBdRuBsP3KzHi,Josénoriega650,+56 9 8144 0508,9590953,0,,,,1
Ramón Sandoval de Jesús,ramón7034372@edubus.cal,VcokDbK5c2,Ramónjesús183,+56 9 4601 1668,6711711,0,,,,5
Amalia Ontiveros Rojas,Amaliarojas557@wass.com,Pnodc96DF,amalia1236543,+56 2 5124 7135,-18255332,2310,,,,8
Ester Guillen Vanegas,ester2119354@wass.com,J0A1rnALUJP,ester6905914,+56 2 7601 1564,,14791,,,,
Andrea Reséndez Guardado,Andreaguardado378@tourket.com,4LriTbO5dyo,Andreaguardado248,+56 2 2609 6392,7430795,,,,,7
Sta. Alejandro Gurule Tejada,Sta.tejada565@outluc.com,3IHuBu4Fr,sta.5630750,+56 2 3846 1135,-25507852,13212,,,,6
Maricarmen Duarte Rosado,Maricarmenrosado518@viajes.cl,,,+56 9 7117 1181,15426985,,,Consalud,Full time,1
Marilu Delvalle Olivera,marilu2791390@marmol.com,65u8g6RIAdqkVdA,Mariluolivera396,+56 2 2350 9899,1920466,,,,,9
Sra. Graciela Solorio Ramírez,sra.8577415@wass.com,225vXeL3vKBLnR,Sra.ramírez837,+56 9 7993 2986,,,,,,
Hernán Guzmán Dávila,hegudá768@outluc.com,LgOoAYliaQWlX5ke,hernán8266293,+56 2 1411 6763,8279601,19880,,,,0
Hernán Lira Marín,helima194@viajesanma.com,p8ro2cYKzZ8Kxv,,+56 9 0627 8587,12233979,-21534,,,,3
Carlota Segovia Ibarra,Carlotaibarra867@edubus.cal,9GWyro8a,carlota5944677,+56 2 9179 3604,837202,7226,,,,0
Nicolás Gurule Rodríguez,Nicolásrodríguez912@outluc.com,qeJeRww3UN,Nicolásrodríguez860,+56 9 2025 2615,9652087,0,,,,5
Antonio Rolón Regalado,,i5KAsbVbHx30G,anrore623,+56 9 6381 5686,,7812,,,,
César Castañeda Concepción,césar2295448@viajes.cl,69jNpLson2MQ,,+56 9 2709 5248,18156027,,,Banmédica,Part time,4
Sta. Carmen Cabán Escalante,stcacaes439@tourket.com,MQb1L7EnLotO3Fyn,sta.8020832,+56 2 3104 7277,6525658,8374,,,,4
Sr. Miguel Pabón Corral,Sr.corral649@tourket.com,Hh9TjCZWfyZ,srmipaco388,+56 9 5411 3399,6780198,0,,,,9
Soledad Ocampo Rojo,Soledadrojo470@edubus.cal,u3sbd1LW7ELDyA,Soledadrojo301,+56 9 7515 0772,-3632600,328,,,,K
Sra. Elisa Posada Serrato,srelpose547@edubus.cal,rllMKR4qR,sra.328504,+56 9 6367 4164,2943287,0,,,,2
Sta. Concepción Montaño Suárez,sta.6560419@marmol.com,WrC5aGLuYqUTXp,Sta.suárez395,+56 2 8735 3875,9930799,25457,,,,4
